start_time,c,h,l,o,t
1704405600000,0.01,0.01,0.01,0.01,1704405600
1704409200000,0.01,0.01,0.01,0.01,1704409200
1704412800000,0.01,0.01,0.01,0.01,1704412800
1704416400000,0.01,0.01,0.01,0.01,1704416400
1704420000000,0.01,0.01,0.01,0.01,1704420000
1704423600000,0.01,0.01,0.01,0.01,1704423600
1704427200000,0.01,0.01,0.01,0.01,1704427200
1704430800000,0.01,0.01,0.01,0.01,1704430800
1704434400000,0.01,0.01,0.01,0.01,1704434400
1704438000000,0.01,0.01,0.01,0.01,1704438000
1704441600000,0.01,0.01,0.01,0.01,1704441600
1704445200000,0.01,0.01,0.01,0.01,1704445200
1704448800000,0.01,0.01,0.01,0.01,1704448800
1704452400000,0.01,0.01,0.01,0.01,1704452400
1704456000000,0.01,0.01,0.01,0.01,1704456000
1704459600000,0.01,0.01,0.01,0.01,1704459600
1704463200000,0.01,0.01,0.01,0.01,1704463200
1704466800000,0.01,0.01,0.01,0.01,1704466800
1704470400000,0.01,0.01,0.01,0.01,1704470400
1704474000000,0.01,0.01,0.01,0.01,1704474000
1704477600000,0.01,0.01,0.01,0.01,1704477600
1704481200000,0.01,0.01,0.01,0.01,1704481200
1704484800000,0.01,0.01,0.01,0.01,1704484800
1704488400000,0.01,0.01,0.01,0.01,1704488400
1704492000000,0.01,0.01,0.01,0.01,1704492000
1704495600000,0.01,0.01,0.01,0.01,1704495600
1704499200000,0.01,0.01,0.01,0.01,1704499200
1704502800000,0.01,0.01,0.01,0.01,1704502800
1704506400000,0.01,0.01,0.01,0.01,1704506400
1704510000000,0.01,0.01,0.01,0.01,1704510000
1704513600000,0.01,0.01,0.01,0.01,1704513600
1704517200000,0.01,0.01,0.01,0.01,1704517200
1704520800000,0.01,0.01,0.01,0.01,1704520800
1704524400000,0.01,0.01,0.01,0.01,1704524400
1704528000000,0.01,0.01,0.01,0.01,1704528000
1704531600000,0.01,0.01,0.01,0.01,1704531600
1704535200000,0.01,0.01,0.01,0.01,1704535200
1704538800000,0.01,0.01,0.01,0.01,1704538800
1704542400000,0.01,0.01,0.01,0.01,1704542400
1704546000000,0.01,0.01,0.01,0.01,1704546000
1704549600000,0.01,0.01,0.01,0.01,1704549600
1704553200000,0.01,0.01,0.01,0.01,1704553200
1704556800000,0.01,0.01,0.01,0.01,1704556800
1704560400000,0.01,0.01,0.01,0.01,1704560400
1704564000000,0.01,0.01,0.01,0.01,1704564000
1704567600000,0.01,0.01,0.01,0.01,1704567600
1704571200000,0.01,0.01,0.01,0.01,1704571200
1704574800000,0.01,0.01,0.01,0.01,1704574800
1704578400000,0.01,0.01,0.01,0.01,1704578400
1704582000000,0.01,0.01,0.01,0.01,1704582000
1704585600000,0.01,0.01,0.01,0.01,1704585600
1704589200000,0.01,0.01,0.01,0.01,1704589200
1704592800000,0.01,0.01,0.01,0.01,1704592800
1704596400000,0.01,0.01,0.01,0.01,1704596400
1704600000000,0.01,0.01,0.01,0.01,1704600000
1704603600000,0.01,0.01,0.01,0.01,1704603600
1704607200000,0.01,0.01,0.01,0.01,1704607200
1704610800000,0.01,0.01,0.01,0.01,1704610800
