start_time,datetime,netflow_total,is_shutdown,exchange_supply_ratio,flow_mean,flow_total,transactions_count_flow,reserve,reserve_usd,open_interest,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,exchange_whale_ratio,funding_rates,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,transactions_count_inflow,transactions_count_outflow,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1681686000000,2023-04-16 23:00:00,-39.12408179999999,0,0.03197827,0.17104493,5.9865725,35,618721.2178132,18727823133.49113,3931341319.282699,0.19068589,0.19559552,96.79323932,121.46691474,0.79686917,0.01,4.58831419,5.46266183,141.14835357,160.59099654,1.81806633,54783.85862,1.095,33322.72974,637,35,30304.65,30349.65,30245.0,30331.03,887.19999,0.45811771,0.84541922,86854654.7599,0.54188229,102735605.0159
1681689600000,2023-04-17 00:00:00,-48.52531876000003,0,0.03197571,0.93308581,40.1226897,43,618672.69249444,18472003301.771828,3813771689.1626,0.2610468,0.21925816,114.19889422,207.53220641,0.55027071,0.00999953,5.95482617,5.07093134,199.5472069,256.05752517,73.39982729,2183069.2372,3.769,114007.98184,795,43,29842.86,30316.06,29790.01,30304.66,6333.0212,0.42749839,0.74671996,777233415.9961,0.57250161,1040863313.6487
1681693200000,2023-04-17 01:00:00,176.05446366,0,0.03198473,0.20634463,7.42840684,36,618848.7469581,18547599185.67392,3841255228.5366,0.62045725,0.27658981,378.93742689,473.40887911,0.80044427,0.00824278,8.25984487,5.86159979,237.68278359,297.35441545,5.22394694,155131.26838,2.863,86054.45601,763,36,29946.22,29993.89,29740.64,29842.86,3446.41352,0.49345849,0.97417185,390318012.32334,0.50654151,400666485.72258
1681696800000,2023-04-17 02:00:00,442.4003801,0,0.03200753,0.19347449,6.38465809,33,619291.1473382,18590317972.362007,3849313443.5136,0.93023233,0.39137883,396.19779287,581.39520858,0.68146037,0.00593243,4.2119645,5.74881641,120.00989581,138.99482848,0.0,0.0,5.68306635,171450.58118,625,33,30020.0,30101.31,29890.57,29946.22,2031.32353,0.51667589,1.069005,233134503.64,0.48332411,218085513.21
1681700400000,2023-04-17 03:00:00,65.94771132000002,0,0.03201091,0.30483807,6.70643752,22,619357.09504952,18577245307.698635,3861941733.4272,0.53829974,0.43430771,163.27161902,211.01349834,0.77374964,0.00411247,6.59389941,6.12079691,138.77280105,145.06578702,0.227,6771.43944,0.001,30.07461,392,22,29982.8,30040.64,29950.0,30020.0,1294.27878,0.48877373,0.95608101,112711261.801,0.51122627,117888819.7362
1681704000000,2023-04-17 04:00:00,159.95786614000002,0,0.03201911,8.53597783,2432.75368158,285,619517.05291566,18576016206.983185,3865701437.227,0.71274622,0.49890061,265.2967092,416.95653871,0.63626945,0.0029956,0.90174973,5.27571585,193.4709301,256.99867257,5.73,170766.10545,0.115,3457.751,585,285,29981.18,29985.27,29909.17,29982.8,1376.0461,0.49803591,0.99217436,113858436.4118,0.50196409,114756479.1214
1681707600000,2023-04-17 05:00:00,-123.51008737,0,0.03201268,26.73923832,1871.74668251,70,619393.54282829,18580301718.428032,3871458480.6664,0.32708925,0.51150821,152.81934301,197.88899462,0.77224781,0.00395638,4.59141546,5.01457348,295.96458656,321.39908199,0.0,0.0,0.003,90.30573,605,70,29997.89,30007.56,29930.99,29981.18,1116.48376,0.52543,1.1071707,95832991.2554,0.47457,86556654.374
1681711200000,2023-04-17 06:00:00,107.84859578000004,0,0.03201812,6.52587508,352.39725439,54,619501.39142407,18540078931.936462,3877612618.1802,0.39112319,0.54014211,259.81576679,390.3409394,0.66561239,0.00483588,5.2313397,5.10643426,248.40062337,282.49234362,0.434,12920.46633,0.0,0.0,998,54,29901.28,30004.33,29888.0,29997.9,1274.17615,0.44899437,0.81486351,101659410.2593,0.55100563,124756366.7075
1681714800000,2023-04-17 07:00:00,52.35967205,0,0.03202076,0.11935805,2.86459324,24,619553.75109612,18527088738.10015,3886861586.745,0.32344461,0.54905608,188.71071136,233.52700835,0.80808945,0.00680593,7.54863901,5.33412181,153.51957984,181.1673363,4.85974739,144558.69464,0.0,0.0,722,24,29838.3,29940.0,29832.0,29901.27,1806.36891,0.46561937,0.87132531,160959170.6283,0.53438063,184729134.4243
1681718400000,2023-04-17 08:00:00,421.89227561,0,0.03204245,7.52220247,571.68738748,76,619975.64337173,18536057194.361763,3899237643.4452,0.60648901,0.54706062,531.56078809,803.59793876,0.66147605,0.00887117,5.02244294,4.87163582,292.05537811,381.70566315,6.46731749,191860.47779,0.0,0.0,1325,76,29918.1,29919.15,29801.0,29838.3,2260.63657,0.53084698,1.1315007,222128704.0688,0.46915302,196313360.184
1681722000000,2023-04-17 09:00:00,-243.81448104,0,0.03202975,1.36058353,40.81750576,30,619731.82889069,18520853998.66664,3908834111.2096,0.25626528,0.45077961,169.59940175,255.75274754,0.66313814,0.01,16.65224095,6.64881817,447.727967,499.56722858,0.036,1070.63434,0.0,0.0,998,30,29876.97,29922.5,29845.95,29918.1,1158.48993,0.45037403,0.81941911,91064478.2084,0.54962597,111132968.6515
1681725600000,2023-04-17 10:00:00,923.58144553,0,0.03207741,11.77208529,729.86928783,62,620655.41033622,18516301154.36871,3914637919.5949006,1.03915069,0.52232975,937.63928695,1124.36104679,0.83393078,0.01,3.23838067,6.16945835,169.21182413,200.77960126,2.30862691,68544.63609,0.0,0.0,1082,62,29884.66,29888.88,29764.28,29876.96,3250.22082,0.50263883,1.01061132,244881681.1347,0.49736117,242310446.6663
1681729200000,2023-04-17 11:00:00,-470.17503983000006,0,0.03205306,0.24992589,10.2469614,41,620185.23529639,18348042899.47865,3808294247.9588,0.16714971,0.44438739,131.07011599,247.04726565,0.53054672,0.01,17.49322696,8.53966938,570.54170069,717.22230548,27.18541446,801549.07044,2.249,66746.05888,1478,41,29570.81,29889.16,29366.0,29884.67,5288.59201,0.43849685,0.78093389,720846454.88954,0.56150315,923056945.33365
1681732800000,2023-04-17 12:00:00,204.91079158,0,0.03206358,19.05357633,1181.32173243,62,620390.14608797,18292180877.20013,3812266975.4325,0.56493301,0.47836507,359.13354864,615.2120473,0.58375572,0.01,6.61776219,8.82914749,319.36061018,410.30125572,1.40547671,41233.97111,0.088,2609.79243,1089,62,29529.85,29593.14,29442.91,29570.8,4140.821,0.49110509,0.96504225,457016934.575,0.50889491,473571943.8638
1681736400000,2023-04-17 13:00:00,104.64235256,0,0.03206894,0.37706096,9.04946311,24,620494.78844053,18223121619.75189,3801695959.0648,0.45201914,0.48706449,340.01734693,414.95357126,0.81941058,0.01,12.92963411,9.92890383,263.91451308,310.3112187,42.49087618,1241205.34639,1.021,30153.25665,918,24,29402.2,29536.51,29250.0,29529.86,4553.82473,0.46989481,0.88641804,683995852.8982,0.53010519,771640267.41238
1681740000000,2023-04-17 14:00:00,-87.64076883999996,0,0.03206432,8.24704282,676.25751141,82,620407.14767169,18257829801.90918,3818814755.944,0.32480719,0.48725915,278.56142514,609.0134804,0.4573978,0.01,8.49578353,10.06421019,501.87099335,696.65424924,1.14574323,33486.53055,0.72227041,21365.28192,1875,82,29440.42,29481.96,29356.75,29402.2,2451.69041,0.52456415,1.1033332,365052484.6379,0.47543585,330863320.5967
1681743600000,2023-04-17 15:00:00,133.31902286000002,0,0.03207114,0.21670072,7.15112374,33,620540.46669455,18201267071.312088,3821347718.9708,0.5625494,0.48098206,520.63301567,658.18280007,0.79101583,0.01,15.90496295,11.61885591,468.12734094,524.86377721,6.51337163,190100.53432,0.039,1147.86536,1170,33,29358.31,29464.06,29240.65,29440.41,2604.126,0.47115814,0.89092444,352313039.1904,0.52884186,395446598.4099
