start_time,close,datetime,high,low,open,volume
1704067200000,42475.23,2024-01-01 00:00:00,42554.57,42261.02,42283.58,1271.68108
1704070800000,42613.56,2024-01-01 01:00:00,42775.0,42431.65,42475.23,1196.37856
1704074400000,42581.1,2024-01-01 02:00:00,42638.41,42500.0,42613.57,685.2198
1704078000000,42330.49,2024-01-01 03:00:00,42586.64,42230.08,42581.09,794.80391
1704081600000,42399.99,2024-01-01 04:00:00,42399.99,42209.46,42330.5,715.4176
1704085200000,42234.01,2024-01-01 05:00:00,42406.0,42180.77,42399.98,736.53152
1704088800000,42396.69,2024-01-01 06:00:00,42424.82,42208.68,42234.01,601.3725
1704092400000,42492.46,2024-01-01 07:00:00,42500.0,42396.68,42396.69,653.67718
1704096000000,42549.99,2024-01-01 08:00:00,42556.5,42452.58,42492.46,427.19365
1704099600000,42649.69,2024-01-01 09:00:00,42699.32,42537.18,42550.0,879.62491
1704103200000,42691.1,2024-01-01 10:00:00,42749.36,42628.0,42649.69,856.81851
1704106800000,42690.2,2024-01-01 11:00:00,42762.39,42605.21,42691.1,785.16567
1704110400000,42648.38,2024-01-01 12:00:00,42780.0,42611.45,42690.21,785.52851
1704114000000,42715.54,2024-01-01 13:00:00,42748.0,42612.76,42648.37,497.2024
1704117600000,42612.24,2024-01-01 14:00:00,42715.55,42580.0,42715.54,711.01152
1704121200000,42783.05,2024-01-01 15:00:00,42847.07,42586.51,42612.24,942.70163
1704124800000,42725.15,2024-01-01 16:00:00,42856.0,42664.42,42783.05,918.71056
1704128400000,42812.7,2024-01-01 17:00:00,42824.9,42704.42,42725.15,677.33678
1704132000000,43111.1,2024-01-01 18:00:00,43208.86,42812.7,42812.71,2143.30897
1704135600000,43517.99,2024-01-01 19:00:00,43550.0,43103.64,43111.1,1947.61533
1704139200000,43687.86,2024-01-01 20:00:00,43829.99,43510.71,43517.98,2905.07295
1704142800000,43619.21,2024-01-01 21:00:00,43792.59,43480.76,43687.85,1541.59126
1704146400000,43529.93,2024-01-01 22:00:00,43661.1,43361.6,43619.22,1024.36372
1704150000000,44179.55,2024-01-01 23:00:00,44184.1,43529.93,43529.94,3475.97051
1704153600000,45056.0,2024-01-02 00:00:00,45200.0,44148.34,44179.55,6986.25967
1704157200000,44855.96,2024-01-02 01:00:00,45372.79,44686.0,45056.0,4397.86376
1704160800000,45378.96,2024-01-02 02:00:00,45381.42,44855.95,44855.96,3016.04235
1704164400000,45402.38,2024-01-02 03:00:00,45500.0,45131.1,45378.96,2693.12081
1704168000000,45179.8,2024-01-02 04:00:00,45468.99,45170.0,45402.38,2268.27572
1704171600000,45179.48,2024-01-02 05:00:00,45324.72,45121.96,45179.8,1617.2842
1704175200000,45168.75,2024-01-02 06:00:00,45308.15,45130.0,45179.48,1390.33832
1704178800000,45455.53,2024-01-02 07:00:00,45643.75,45168.74,45168.75,3112.52478
1704182400000,45759.3,2024-01-02 08:00:00,45852.93,45326.6,45455.52,3323.21707
1704186000000,45673.48,2024-01-02 09:00:00,45879.63,45631.1,45759.3,2096.46195
1704189600000,45584.99,2024-01-02 10:00:00,45711.1,45431.52,45673.48,2069.22249
1704193200000,45433.99,2024-01-02 11:00:00,45698.67,45200.0,45585.0,2538.49307
1704196800000,45301.99,2024-01-02 12:00:00,45589.68,45271.04,45433.99,2128.11147
1704200400000,45637.93,2024-01-02 13:00:00,45705.8,45264.39,45302.0,2253.76868
1704204000000,45258.73,2024-01-02 14:00:00,45800.0,44970.0,45637.92,4553.21243
1704207600000,45184.82,2024-01-02 15:00:00,45349.98,44833.33,45258.73,4301.03657
1704211200000,45357.84,2024-01-02 16:00:00,45399.84,44890.11,45184.83,3052.23783
1704214800000,44966.15,2024-01-02 17:00:00,45382.08,44950.48,45357.84,2540.00308
1704218400000,45154.69,2024-01-02 18:00:00,45271.2,44944.0,44966.16,1806.0773
1704222000000,45039.49,2024-01-02 19:00:00,45243.0,44790.96,45154.7,2347.28624
1704225600000,44788.28,2024-01-02 20:00:00,45180.55,44742.96,45039.49,1940.02489
1704229200000,45119.74,2024-01-02 21:00:00,45119.76,44600.0,44788.27,2043.74183
1704232800000,44981.73,2024-01-02 22:00:00,45297.26,44840.01,45119.74,1591.57491
1704236400000,44946.91,2024-01-02 23:00:00,45049.98,44802.01,44981.72,1080.22719
1704240000000,45135.61,2024-01-03 00:00:00,45212.57,44862.11,44946.91,1410.31904
1704243600000,45317.58,2024-01-03 01:00:00,45329.83,45102.72,45135.61,1166.18095
1704247200000,45274.57,2024-01-03 02:00:00,45410.91,45211.73,45317.58,1434.81631
1704250800000,45262.69,2024-01-03 03:00:00,45310.0,45151.91,45274.57,739.36966
1704254400000,45183.45,2024-01-03 04:00:00,45272.16,45115.59,45262.7,796.786
1704258000000,45172.13,2024-01-03 05:00:00,45294.11,45118.91,45183.45,849.38832
1704261600000,45326.93,2024-01-03 06:00:00,45363.19,45160.0,45172.12,1264.55564
1704265200000,45011.77,2024-01-03 07:00:00,45384.84,44940.93,45326.92,1780.38521
1704268800000,45200.0,2024-01-03 08:00:00,45200.0,45001.1,45011.77,1462.95207
1704272400000,45344.67,2024-01-03 09:00:00,45500.0,45185.39,45200.0,2006.28796
1704276000000,45151.91,2024-01-03 10:00:00,45398.37,45045.95,45344.66,1918.59612
1704279600000,43702.88,2024-01-03 11:00:00,45174.07,43500.0,45151.91,7849.69163
1704283200000,42789.38,2024-01-03 12:00:00,43716.0,40750.0,43702.89,20155.46959
1704286800000,42529.4,2024-01-03 13:00:00,42820.92,42310.0,42789.39,5587.0456
1704290400000,42179.99,2024-01-03 14:00:00,42532.0,42050.0,42529.4,4566.2886
1704294000000,43000.01,2024-01-03 15:00:00,43009.02,42175.14,42180.0,5175.34831
1704297600000,42992.67,2024-01-03 16:00:00,43567.92,42773.34,43000.01,6973.81609
1704301200000,42906.0,2024-01-03 17:00:00,43034.59,42600.0,42992.68,2945.17641
1704304800000,42255.72,2024-01-03 18:00:00,43050.0,42000.0,42906.0,3314.04996
1704308400000,42596.67,2024-01-03 19:00:00,43011.1,42161.1,42255.72,3662.29946
1704312000000,42721.02,2024-01-03 20:00:00,42846.17,42518.7,42596.66,1931.53987
1704315600000,42917.62,2024-01-03 21:00:00,42966.27,42581.1,42721.02,1692.53055
1704319200000,42749.68,2024-01-03 22:00:00,42941.1,42596.24,42917.61,1385.88591
1704322800000,42845.23,2024-01-03 23:00:00,42845.23,42591.09,42749.69,1125.77247
1704326400000,42874.01,2024-01-04 00:00:00,42983.77,42754.0,42845.23,1619.84247
1704330000000,42708.01,2024-01-04 01:00:00,42936.79,42613.77,42874.0,1337.96527
1704333600000,43138.49,2024-01-04 02:00:00,43219.36,42690.02,42708.01,1256.1727
1704337200000,43102.8,2024-01-04 03:00:00,43220.56,43002.15,43138.5,1274.15811
1704340800000,43149.99,2024-01-04 04:00:00,43200.0,42955.5,43102.79,1080.01392
1704344400000,43183.74,2024-01-04 05:00:00,43273.08,43072.7,43149.99,971.30246
1704348000000,43155.46,2024-01-04 06:00:00,43232.95,43086.59,43183.74,989.98669
1704351600000,42763.08,2024-01-04 07:00:00,43261.64,42756.97,43155.46,2402.09322
1704355200000,42849.66,2024-01-04 08:00:00,42975.38,42699.83,42763.08,1650.32861
1704358800000,43007.74,2024-01-04 09:00:00,43084.38,42849.66,42849.67,1411.97913
1704362400000,43073.26,2024-01-04 10:00:00,43100.0,42616.28,43007.73,2250.33233
1704366000000,43176.32,2024-01-04 11:00:00,43233.81,42927.33,43073.26,1433.76942
1704369600000,43378.12,2024-01-04 12:00:00,43423.95,43097.06,43176.33,2238.88425
1704373200000,43346.68,2024-01-04 13:00:00,43484.84,43167.27,43378.11,1658.84054
1704376800000,43676.07,2024-01-04 14:00:00,43753.15,43250.0,43346.67,2649.8067
1704380400000,44051.1,2024-01-04 15:00:00,44329.99,43608.0,43676.07,5051.47874
1704384000000,43915.71,2024-01-04 16:00:00,44134.8,43777.86,44051.1,2764.45038
1704387600000,43990.01,2024-01-04 17:00:00,44225.75,43827.69,43915.7,2510.89188
1704391200000,44048.96,2024-01-04 18:00:00,44152.09,43881.31,43990.01,1520.18678
1704394800000,43956.48,2024-01-04 19:00:00,44437.5,43910.01,44048.95,2603.99272
1704398400000,44113.68,2024-01-04 20:00:00,44690.0,43890.9,43956.48,3043.38975
1704402000000,44430.86,2024-01-04 21:00:00,44589.04,44113.67,44113.68,2538.90479
1704405600000,44318.0,2024-01-04 22:00:00,44729.58,44150.64,44430.86,2470.81905
1704409200000,44151.1,2024-01-04 23:00:00,44355.22,44050.0,44318.01,1308.47343
1704412800000,44211.1,2024-01-05 00:00:00,44248.47,43950.84,44151.1,1764.77429
1704416400000,43376.0,2024-01-05 01:00:00,44284.0,42450.0,44211.1,5302.04832
1704420000000,43506.0,2024-01-05 02:00:00,43972.86,43302.0,43376.0,3111.00846
1704423600000,43465.21,2024-01-05 03:00:00,43770.0,43409.79,43506.01,1543.67157
1704427200000,43589.88,2024-01-05 04:00:00,43629.99,43187.89,43465.21,1790.05634
1704430800000,43644.15,2024-01-05 05:00:00,43723.13,43507.48,43589.87,947.34888
1704434400000,43844.82,2024-01-05 06:00:00,43926.0,43578.08,43644.16,1112.36781
1704438000000,43777.47,2024-01-05 07:00:00,43926.0,43715.93,43845.08,1099.83728
1704441600000,43911.44,2024-01-05 08:00:00,43947.99,43771.1,43777.48,989.5563
1704445200000,44147.21,2024-01-05 09:00:00,44324.8,43911.44,43911.44,2628.68996
1704448800000,43628.18,2024-01-05 10:00:00,44157.03,43433.0,44147.22,1876.88721
1704452400000,43771.34,2024-01-05 11:00:00,43916.8,43605.36,43628.19,1560.50376
1704456000000,43882.52,2024-01-05 12:00:00,44110.07,43616.0,43771.34,1865.99113
1704459600000,43986.01,2024-01-05 13:00:00,44096.49,43721.06,43882.52,1994.26258
1704463200000,43486.04,2024-01-05 14:00:00,44062.36,43100.0,43986.01,3583.28008
1704466800000,43500.01,2024-01-05 15:00:00,43801.1,43355.54,43488.21,2600.74661
1704470400000,43225.99,2024-01-05 16:00:00,43592.64,43220.0,43500.01,2401.19219
1704474000000,43609.53,2024-01-05 17:00:00,43627.57,43100.46,43225.99,2540.97502
1704477600000,43610.07,2024-01-05 18:00:00,43690.12,43418.0,43609.52,1274.08655
1704481200000,43600.0,2024-01-05 19:00:00,43808.07,43520.15,43610.08,1243.82237
1704484800000,43955.07,2024-01-05 20:00:00,44357.46,43599.99,43600.0,2500.69771
1704488400000,43946.26,2024-01-05 21:00:00,43971.1,43580.51,43955.07,1609.24913
1704492000000,43967.44,2024-01-05 22:00:00,44048.64,43764.42,43946.26,1024.55085
1704495600000,44145.11,2024-01-05 23:00:00,44318.61,43967.44,43967.44,1709.64887
1704499200000,44068.8,2024-01-06 00:00:00,44214.42,43975.0,44145.12,879.60338
1704502800000,43970.64,2024-01-06 01:00:00,44094.4,43906.19,44068.79,857.49986
1704506400000,43909.31,2024-01-06 02:00:00,44009.24,43823.06,43970.65,718.07637
1704510000000,43931.1,2024-01-06 03:00:00,44018.57,43812.5,43909.31,668.28232
1704513600000,43850.0,2024-01-06 04:00:00,43971.1,43832.0,43931.1,422.35739
1704517200000,43698.72,2024-01-06 05:00:00,43871.1,43588.0,43850.01,1174.66016
1704520800000,43454.7,2024-01-06 06:00:00,43700.34,43425.0,43698.72,1659.55792
1704524400000,43653.2,2024-01-06 07:00:00,43668.02,43397.05,43454.7,986.22209
1704528000000,43692.33,2024-01-06 08:00:00,43744.37,43551.28,43653.2,813.66676
1704531600000,43651.9,2024-01-06 09:00:00,43756.0,43636.7,43692.33,562.07964
1704535200000,43694.48,2024-01-06 10:00:00,43771.1,43584.0,43651.9,677.68295
1704538800000,43671.96,2024-01-06 11:00:00,43705.23,43616.02,43694.47,396.12062
1704542400000,43607.96,2024-01-06 12:00:00,43750.0,43527.27,43671.97,531.76575
1704546000000,43704.07,2024-01-06 13:00:00,43740.27,43542.0,43607.95,473.0935
1704549600000,43828.21,2024-01-06 14:00:00,43920.08,43703.41,43704.08,998.40603
1704553200000,43867.17,2024-01-06 15:00:00,43898.0,43791.1,43828.2,606.8731
1704556800000,43872.34,2024-01-06 16:00:00,43978.78,43828.5,43867.17,762.52286
1704560400000,43963.72,2024-01-06 17:00:00,44000.0,43842.97,43872.35,618.69382
1704564000000,43995.89,2024-01-06 18:00:00,44148.58,43884.04,43963.73,883.24997
1704567600000,43906.36,2024-01-06 19:00:00,44017.46,43830.88,43995.89,706.77767
1704571200000,43826.44,2024-01-06 20:00:00,43961.33,43611.19,43906.35,727.31918
1704574800000,43889.43,2024-01-06 21:00:00,43935.21,43723.76,43826.45,583.21345
1704578400000,43878.61,2024-01-06 22:00:00,43928.0,43740.0,43889.43,480.5904
1704582000000,43968.32,2024-01-06 23:00:00,43980.0,43732.5,43878.62,646.74625
1704585600000,44119.11,2024-01-07 00:00:00,44259.29,43915.56,43968.32,1359.49776
1704589200000,43967.72,2024-01-07 01:00:00,44160.0,43963.89,44119.11,668.136
1704592800000,43930.28,2024-01-07 02:00:00,44089.1,43833.4,43967.71,741.95675
1704596400000,43940.41,2024-01-07 03:00:00,44034.92,43904.18,43930.28,627.84726
1704600000000,44000.0,2024-01-07 04:00:00,44035.9,43885.24,43940.41,545.34387
1704603600000,43885.47,2024-01-07 05:00:00,44067.84,43843.52,44000.01,519.68969
1704607200000,44022.0,2024-01-07 06:00:00,44088.01,43858.0,43885.48,705.67701
1704610800000,44080.0,2024-01-07 07:00:00,44100.0,43991.1,44021.99,576.4073
1704614400000,44017.99,2024-01-07 08:00:00,44167.81,44000.0,44080.0,866.45352
1704618000000,43938.9,2024-01-07 09:00:00,44065.0,43880.65,44018.0,745.22164
1704621600000,43960.0,2024-01-07 10:00:00,43996.0,43906.91,43938.9,673.28346
1704625200000,44061.1,2024-01-07 11:00:00,44118.19,43959.1,43960.0,738.77639
1704628800000,44088.63,2024-01-07 12:00:00,44139.43,43969.62,44061.1,637.81941
1704632400000,44409.31,2024-01-07 13:00:00,44449.98,44082.66,44088.63,2234.29499
1704636000000,44402.0,2024-01-07 14:00:00,44480.59,44277.12,44409.31,1427.92526
1704639600000,44047.57,2024-01-07 15:00:00,44431.1,43945.15,44402.0,1672.94945
1704643200000,43922.0,2024-01-07 16:00:00,44185.0,43857.14,44047.57,1260.33931
1704646800000,44064.84,2024-01-07 17:00:00,44110.15,43700.0,43922.0,1223.59528
1704650400000,44106.11,2024-01-07 18:00:00,44176.04,44035.25,44064.83,546.77236
1704654000000,44244.77,2024-01-07 19:00:00,44262.53,44041.27,44106.11,560.18451
1704657600000,44120.01,2024-01-07 20:00:00,44269.92,44120.0,44244.77,527.84094
1704661200000,44231.53,2024-01-07 21:00:00,44249.0,44110.45,44120.01,551.38125
1704664800000,43862.85,2024-01-07 22:00:00,44231.54,43778.13,44231.53,1399.67049
1704668400000,43929.02,2024-01-07 23:00:00,44024.99,43572.09,43862.85,2212.7869
1704672000000,43632.0,2024-01-08 00:00:00,43986.0,43625.18,43929.01,1712.48374
1704675600000,43713.06,2024-01-08 01:00:00,43809.18,43610.25,43632.0,1111.57206
1704679200000,43371.09,2024-01-08 02:00:00,43800.07,43175.0,43713.07,2425.01013
1704682800000,43518.2,2024-01-08 03:00:00,43568.85,43225.0,43371.09,2122.92505
1704686400000,43599.26,2024-01-08 04:00:00,43610.68,43430.79,43518.2,1115.01613
1704690000000,43641.74,2024-01-08 05:00:00,43650.0,43475.0,43599.26,1134.27526
1704693600000,43912.87,2024-01-08 06:00:00,44341.8,43584.87,43641.74,3381.02051
1704697200000,43974.55,2024-01-08 07:00:00,44074.99,43784.86,43912.88,1527.12031
1704700800000,43868.53,2024-01-08 08:00:00,44069.41,43851.1,43974.55,829.24271
1704704400000,43720.46,2024-01-08 09:00:00,43920.14,43641.73,43868.53,1124.68124
1704708000000,44088.85,2024-01-08 10:00:00,44128.19,43689.26,43720.45,1256.15965
1704711600000,44635.99,2024-01-08 11:00:00,44688.0,43950.0,44088.86,3426.18407
1704715200000,45111.09,2024-01-08 12:00:00,45200.0,44350.0,44636.0,7517.5607
1704718800000,44911.58,2024-01-08 13:00:00,45179.14,44807.56,45111.1,3323.31376
1704722400000,44783.91,2024-01-08 14:00:00,45090.0,44724.37,44911.58,2288.27888
1704726000000,44963.04,2024-01-08 15:00:00,45333.0,44667.22,44783.9,4083.38544
1704729600000,44940.3,2024-01-08 16:00:00,45171.42,44793.97,44963.04,2531.38293
1704733200000,45648.0,2024-01-08 17:00:00,45668.88,44903.86,44940.31,4294.58934
1704736800000,46970.01,2024-01-08 18:00:00,46995.0,45648.0,45648.01,10702.46628
1704740400000,46979.35,2024-01-08 19:00:00,47248.99,46540.01,46970.02,6934.53877
1704744000000,46774.01,2024-01-08 20:00:00,47143.15,46709.92,46979.36,3446.6373
1704747600000,47071.41,2024-01-08 21:00:00,47207.16,46653.84,46774.01,2789.04666
1704751200000,46999.99,2024-01-08 22:00:00,47120.0,46799.18,47071.41,1797.3167
1704754800000,46951.04,2024-01-08 23:00:00,47100.0,46833.88,47000.0,1940.36827
1704758400000,46668.88,2024-01-09 00:00:00,47150.0,46230.0,46951.04,4454.55224
1704762000000,46556.62,2024-01-09 01:00:00,46786.83,46288.0,46668.87,2579.21111
1704765600000,46779.81,2024-01-09 02:00:00,46785.22,46483.83,46556.62,1420.86767
1704769200000,46926.96,2024-01-09 03:00:00,46974.42,46750.92,46779.82,1647.49829
1704772800000,46803.54,2024-01-09 04:00:00,46940.0,46670.91,46926.96,1286.08627
1704776400000,46714.67,2024-01-09 05:00:00,46858.0,46599.43,46803.54,1293.90068
1704780000000,46788.01,2024-01-09 06:00:00,46838.4,46665.84,46714.66,911.5216
1704783600000,46825.51,2024-01-09 07:00:00,46931.7,46735.18,46788.02,1215.90126
1704787200000,46544.65,2024-01-09 08:00:00,46874.94,46510.0,46825.52,1331.10707
1704790800000,46491.99,2024-01-09 09:00:00,46694.61,46407.9,46544.65,1571.60244
1704794400000,46441.89,2024-01-09 10:00:00,46680.0,46381.1,46491.99,1685.90791
1704798000000,46615.99,2024-01-09 11:00:00,46644.0,46426.2,46441.88,1430.21749
1704801600000,46166.35,2024-01-09 12:00:00,47000.0,45450.0,46616.0,4416.37703
1704805200000,46834.0,2024-01-09 13:00:00,47051.21,46055.51,46166.36,5041.75722
1704808800000,46561.1,2024-01-09 14:00:00,47007.83,46498.93,46834.01,2999.84714
1704812400000,46868.09,2024-01-09 15:00:00,47010.0,46429.31,46561.11,3353.84219
1704816000000,46902.88,2024-01-09 16:00:00,46975.0,46719.69,46868.08,1950.39781
