start_time,buy,sell,time
1704610800000,1778.911,1702.152,1704610800
1704614400000,2572.08,3138.461,1704614400
1704618000000,2908.657,3379.586,1704618000
1704621600000,1788.73,1752.916,1704621600
1704625200000,2977.058,2545.463,1704625200
1704628800000,2487.525,2435.517,1704628800
1704632400000,9872.529,7959.515,1704632400
1704636000000,5293.373,5297.09,1704636000
1704639600000,6626.09,9049.114,1704639600
1704643200000,5573.115,6120.254,1704643200
1704646800000,5913.085,5640.565,1704646800
1704650400000,1942.951,2084.468,1704650400
1704654000000,2879.158,2008.817,1704654000
1704657600000,1257.061,2038.532,1704657600
1704661200000,1642.622,1739.562,1704661200
1704664800000,5572.132,6147.379,1704664800
1704668400000,8725.969,9038.483,1704668400
1704672000000,5293.239,6027.876,1704672000
1704675600000,3615.055,3350.366,1704675600
1704679200000,7876.639,10586.134,1704679200
1704682800000,6664.656,5791.449,1704682800
1704686400000,3546.313,3410.743,1704686400
1704690000000,3217.625,3043.102,1704690000
1704693600000,15287.414,13681.432,1704693600
1704697200000,5602.267,4898.249,1704697200
1704700800000,2481.462,2792.151,1704700800
1704704400000,2991.111,3939.361,1704704400
1704708000000,5776.695,4324.271,1704708000
1704711600000,14338.359,11908.319,1704711600
1704715200000,30362.082,29455.649,1704715200
1704718800000,9092.793,11545.483,1704718800
1704722400000,6602.089,7327.883,1704722400
1704726000000,16075.6,14004.242,1704726000
1704729600000,6430.02,7245.465,1704729600
1704733200000,15514.934,13161.577,1704733200
1704736800000,45765.663,40166.166,1704736800
1704740400000,20291.147,19861.342,1704740400
1704744000000,8477.952,9001.72,1704744000
1704747600000,8548.975,8370.642,1704747600
1704751200000,4289.504,4814.617,1704751200
1704754800000,4227.233,4010.917,1704754800
1704758400000,13760.507,15504.997,1704758400
1704762000000,8053.993,8286.361,1704762000
1704765600000,3726.107,4114.05,1704765600
1704769200000,4294.624,4534.91,1704769200
1704772800000,3380.497,4114.132,1704772800
1704776400000,3117.772,3552.959,1704776400
1704780000000,3110.316,2376.084,1704780000
1704783600000,2760.065,2738.891,1704783600
1704787200000,4122.679,5388.214,1704787200
1704790800000,5930.712,6515.231,1704790800
1704794400000,4161.918,4196.924,1704794400
1704798000000,3851.158,3398.023,1704798000
1704801600000,20857.451,21477.846,1704801600
1704805200000,19758.046,17949.798,1704805200
1704808800000,9923.965,11068.352,1704808800
1704812400000,13204.716,12256.122,1704812400
1704816000000,6699.307,6230.023,1704816000
1704819600000,4958.342,5988.845,1704819600
1704823200000,5070.743,5435.108,1704823200
1704826800000,3879.946,4000.629,1704826800
1704830400000,4175.349,4389.7,1704830400
1704834000000,82477.35,82556.684,1704834000
1704837600000,16903.587,15169.842,1704837600
1704841200000,5924.326,5855.193,1704841200
1704844800000,7745.103,7728.816,1704844800
1704848400000,5377.312,4359.912,1704848400
1704852000000,2679.013,2636.179,1704852000
1704855600000,3036.795,3118.192,1704855600
1704859200000,2704.753,3324.172,1704859200
1704862800000,2103.796,2033.311,1704862800
1704866400000,1858.212,1977.449,1704866400
1704870000000,3519.337,4234.195,1704870000
1704873600000,6759.417,9376.377,1704873600
1704877200000,7418.393,7465.266,1704877200
1704880800000,2891.951,3055.152,1704880800
1704884400000,7475.021,9613.188,1704884400
1704888000000,25055.845,30173.75,1704888000
1704891600000,19598.68,18482.152,1704891600
1704895200000,11088.99,12552.641,1704895200
1704898800000,17069.56,15705.999,1704898800
1704902400000,11553.888,12340.18,1704902400
1704906000000,19021.395,17114.458,1704906000
1704909600000,19927.164,19144.487,1704909600
1704913200000,15007.432,15956.433,1704913200
1704916800000,54732.732,59870.567,1704916800
1704920400000,30373.68,30796.653,1704920400
1704924000000,21058.305,18838.896,1704924000
1704927600000,29406.997,29985.842,1704927600
1704931200000,7964.47,8260.504,1704931200
1704934800000,4266.76,4266.311,1704934800
1704938400000,2099.559,2112.131,1704938400
1704942000000,5195.285,6598.082,1704942000
1704945600000,2450.658,3021.836,1704945600
1704949200000,5239.86,7039.605,1704949200
1704952800000,7485.455,8753.683,1704952800
1704956400000,4376.562,3794.479,1704956400
1704960000000,3815.69,3169.484,1704960000
1704963600000,2696.185,2937.532,1704963600
1704967200000,9282.041,7993.746,1704967200
1704970800000,10472.739,9889.325,1704970800
1704974400000,10758.27,10451.226,1704974400
1704978000000,14818.181,16576.348,1704978000
1704981600000,65548.806,60141.414,1704981600
1704985200000,47070.479,53209.905,1704985200
1704988800000,37927.606,37949.613,1704988800
1704992400000,17169.256,16597.009,1704992400
1704996000000,7603.454,7939.553,1704996000
1704999600000,5206.041,5639.308,1704999600
1705003200000,13195.457,14729.887,1705003200
1705006800000,5198.89,5314.574,1705006800
1705010400000,2959.032,2690.481,1705010400
1705014000000,2152.174,2667.998,1705014000
1705017600000,6745.366,7086.078,1705017600
1705021200000,4668.302,5386.432,1705021200
1705024800000,3141.89,3092.374,1705024800
1705028400000,3771.691,3927.574,1705028400
1705032000000,3404.804,3923.91,1705032000
1705035600000,3556.419,2529.721,1705035600
1705039200000,3596.987,4110.015,1705039200
1705042800000,6185.336,7851.322,1705042800
1705046400000,4912.897,5481.805,1705046400
1705050000000,9345.891,8951.85,1705050000
1705053600000,4384.096,3777.322,1705053600
1705057200000,5303.551,5765.269,1705057200
1705060800000,5974.69,6423.234,1705060800
1705064400000,6070.304,7246.016,1705064400
1705068000000,16899.389,18155.88,1705068000
1705071600000,29157.337,32335.847,1705071600
1705075200000,45293.235,52780.954,1705075200
1705078800000,20262.088,18711.783,1705078800
