start_time,active_address,exchange_inflow,exchange_outflow,price,transaction_count
1704067200000,634,0.04021038,7.61663852,42475.23,343
1704070800000,4310,0.44472819,2.14182903,42613.56,659
1704074400000,975,0.0853629,4.43731415,42581.1,329
1704078000000,382,2.68952638,6.55814625,42330.49,231
1704081600000,869,0.72469126,5.95807621,42399.99,335
1704085200000,209,0.12935014,11.57341315,42234.01,146
1704088800000,830,0.84200679,8.28402309,42396.69,314
1704092400000,1677,0.32063642,10.7786449,42492.46,390
1704096000000,1540,0.97741639,7.23766372,42549.99,530
1704099600000,934,0.06015231,0.97394326,42649.69,497
1704103200000,785,0.28094884,5.45810408,42691.1,532
1704106800000,591,0.06156543,13.5622559,42690.2,547
1704110400000,1119,0.71611866,8.08413036,42648.38,575
1704114000000,751,0.0505101,7.29446798,42715.54,529
1704117600000,2996,0.88259404,5.37205728,42612.24,651
1704121200000,648,0.0539012,5.16097006,42783.05,508
1704124800000,702,0.39984537,8.9780612,42725.15,456
1704128400000,1196,0.11890677,8.18200837,42812.7,555
1704132000000,2163,0.70633239,16.30262454,43111.1,694
1704135600000,780,0.05869137,14.7247801,43517.99,515
1704139200000,1451,0.85790055,11.47884299,43687.86,610
1704142800000,364,0.57906119,8.29003539,43619.21,191
1704146400000,2294,0.6639542,8.02318733,43529.93,882
1704150000000,1499,0.03824485,12.70134231,44179.55,379
1704153600000,350,0.05337125,15.23574885,45056.0,206
1704157200000,1845,0.5729405,22.54889032,44855.96,855
1704160800000,1967,2.41739771,11.44263232,45378.96,381
1704164400000,750,0.20196288,34.39154414,45402.38,289
1704168000000,2136,0.29472473,11.92739942,45179.8,488
1704171600000,821,1.702853,19.87739467,45179.48,564
1704175200000,1578,1.46029314,10.07786115,45168.75,459
1704178800000,553,0.08238415,13.84230804,45455.53,399
1704182400000,655,0.17272681,23.67858015,45759.3,606
1704186000000,1074,0.50720676,22.09628495,45673.48,742
1704189600000,1232,0.72190479,4.88799739,45584.99,687
1704193200000,875,3.67837457,16.00402705,45433.99,856
1704196800000,2653,5.42492513,12.65954284,45301.99,1103
1704200400000,2938,0.10368989,18.10926682,45637.93,912
1704204000000,704,1.63448911,31.75612434,45258.73,541
1704207600000,793,0.09108715,21.60300115,45184.82,611
1704211200000,2493,1.93806444,7.15705453,45357.84,1192
1704214800000,1088,0.35989018,24.92954148,44966.15,664
1704218400000,2210,0.45876477,13.4069253,45154.69,695
1704222000000,1089,1.1544072,26.07184741,45039.49,709
1704225600000,1721,0.43292307,9.66816271,44788.28,941
1704229200000,845,0.85446707,12.03424395,45119.74,549
1704232800000,1536,0.29419319,7.63550844,44981.73,556
1704236400000,859,0.64062775,8.3594021,44946.91,587
1704240000000,1777,0.52474935,10.39385823,45135.61,608
1704243600000,369,0.44411903,15.78702849,45317.58,249
1704247200000,1696,0.14821875,7.87647152,45274.57,392
1704250800000,810,0.99652595,8.90637355,45262.69,514
1704254400000,447,14.66092047,5.71144704,45183.45,325
1704258000000,2251,1.18646886,6.34805465,45172.13,407
1704261600000,1385,0.41830558,12.45133823,45326.93,563
1704265200000,607,0.60526884,8.07614779,45011.77,447
1704268800000,536,0.37242919,20.26931227,45200.0,466
1704272400000,717,0.21951609,7.21257754,45344.67,593
1704276000000,1245,1.23881891,4.06598652,45151.91,830
1704279600000,905,0.72889621,22.0742638,43702.88,846
1704283200000,1898,0.71767009,35.09555425,42789.38,867
1704286800000,895,1.05725773,42.88562078,42529.4,677
1704290400000,2452,1.33140361,13.07332079,42179.99,896
1704294000000,1317,0.23725676,19.4546713,43000.01,986
1704297600000,4124,2.83247377,9.49569659,42992.67,870
1704301200000,967,0.30695407,13.36776205,42906.0,548
1704304800000,1143,0.50303524,10.60101793,42255.72,702
1704308400000,2255,0.43636736,8.65525446,42596.67,713
1704312000000,601,0.14137637,8.9524342,42721.02,345
1704315600000,2635,0.88182718,4.54886358,42917.62,1141
1704319200000,1743,1.35853285,8.7070209,42749.68,651
1704322800000,1173,0.66725316,5.98658753,42845.23,674
1704326400000,2137,1.03736516,5.4928992,42874.01,423
1704330000000,757,0.56122907,8.69826972,42708.01,480
1704333600000,2419,0.0450556,2.61652714,43138.49,722
1704337200000,1051,2.27478046,13.48814926,43102.8,470
1704340800000,965,1.5389294,14.43979211,43149.99,380
1704344400000,719,0.88936349,6.54328749,43183.74,345
1704348000000,2494,0.26015679,4.01365728,43155.46,425
1704351600000,811,0.76494105,8.29526525,42763.08,616
1704355200000,1551,1.80580866,3.61820724,42849.66,627
1704358800000,1038,0.2789281,12.7042268,43007.74,774
1704362400000,1439,0.66839743,11.72040597,43073.26,858
1704366000000,832,0.93484338,6.32022925,43176.32,754
1704369600000,3368,0.56860286,8.67544682,43378.12,788
1704373200000,688,0.27659308,7.87931847,43346.68,531
1704376800000,2062,0.90269958,24.06237508,43676.07,1051
1704380400000,1214,0.8581879,44.83507824,44051.1,852
1704384000000,3788,1.86550281,13.95945959,43915.71,1043
1704387600000,961,0.6577978,17.26129152,43990.01,560
1704391200000,1842,0.17293512,15.91347412,44048.96,954
1704394800000,1190,1.04042243,21.32441402,43956.48,784
1704398400000,1707,1.19056924,17.39401065,44113.68,946
1704402000000,738,0.71956428,18.00664812,44430.86,494
1704405600000,1329,0.14823533,21.17394708,44318.0,580
1704409200000,828,0.71370399,9.29740838,44151.1,602
1704412800000,597,0.40259906,17.00625297,44211.1,298
1704416400000,2424,1.87302043,16.49791954,43376.0,787
1704420000000,846,0.07219942,14.70184317,43506.0,255
1704423600000,780,0.29572359,14.48045758,43465.21,419
