start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_short_ratio,longShortRatio,shortAccount,active_address,exchange_inflow_x,exchange_outflow_x,price_x,transaction_count_x,active_addresses,exchange_inflow_y,exchange_outflow_y,price_y,transaction_count_y
1705770000000.0,74938.22,74944.26,74876.13,74913.68,0.01,0.01,0.01,0.01,70.33,2.37,29.67,911,0.07464412,9.09714741,41591.11,553,34208,0.5712032612687051,0.7127332689747635,41620.53902485717,18033
1705770000000.0,74897.87,74966.71,74881.45,74938.22,0.01,0.01,0.01,0.01,70.36,2.37,29.64,911,0.07464412,9.09714741,41591.11,553,34208,0.5712032612687051,0.7127332689747635,41620.53902485717,18033
1705770000000.0,74856.38,74924.98,74840.84,74897.87,0.01,0.01,0.01,0.01,70.43,2.38,29.57,911,0.07464412,9.09714741,41591.11,553,34208,0.5712032612687051,0.7127332689747635,41620.53902485717,18033
1705860000000.0,74653.97,74685.94,74588.01,74682.18,0.01,0.01,0.01,0.01,70.56,2.4,29.44,1671,0.80286895,2.17588211,41681.09,749,53495,0.4419218514055635,0.6445870153861387,41655.01129822104,36968
1705860000000.0,74428.84,74668.89,74394.93,74653.97,0.01,0.01,0.01,0.01,70.64,2.41,29.36,1671,0.80286895,2.17588211,41681.09,749,53495,0.4419218514055635,0.6445870153861387,41655.01129822104,36968
1705860000000.0,74448.4,74467.15,74407.63,74428.84,0.01,0.01,0.01,0.01,70.29,2.37,29.71,1671,0.80286895,2.17588211,41681.09,749,53495,0.4419218514055635,0.6445870153861387,41655.01129822104,36968
1705950000000.0,79346.12,79803.39,79092.68,79092.68,0.01,0.01,0.01,0.01,72.84,2.68,27.16,912,0.39503778,18.85837815,39820.31,661,82224,1.2667565380693253,2.8946987100041035,39705.65744677509,14183
1705950000000.0,76955.02,79692.31,76852.12,79346.12,0.01,0.01,0.01,0.01,72.81,2.68,27.19,912,0.39503778,18.85837815,39820.31,661,82224,1.2667565380693253,2.8946987100041035,39705.65744677509,14183
1705950000000.0,76537.28,77040.18,76084.22,76955.02,0.01,0.01,0.01,0.01,72.2,2.6,27.8,912,0.39503778,18.85837815,39820.31,661,82224,1.2667565380693253,2.8946987100041035,39705.65744677509,14183
1706040000000.0,76982.3,77998.44,76961.18,77998.44,0.01,0.01,0.01,0.01,69.0,2.23,31.0,1006,0.2926877,17.95611094,39175.06,470,39271,0.8742346182729468,1.0728147893999995,39143.921415146215,7399
1706040000000.0,77010.88,77138.04,76503.59,76982.3,0.01,0.01,0.01,0.01,69.19,2.25,30.81,1006,0.2926877,17.95611094,39175.06,470,39271,0.8742346182729468,1.0728147893999995,39143.921415146215,7399
1706040000000.0,76948.17,77076.08,76802.74,77010.88,0.01,0.01,0.01,0.01,69.47,2.28,30.53,1006,0.2926877,17.95611094,39175.06,470,39271,0.8742346182729468,1.0728147893999995,39143.921415146215,7399
1706130000000.0,76356.65,76569.99,76068.33,76569.99,0.01,0.01,0.01,0.01,67.6,2.09,32.4,855,0.28119908,3.76665695,39792.74,575,49570,1.0627881528951888,1.1470462967391304,39740.89859113549,14629
