start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count
1704067200000,37431,0.3211915068874172,0.5521447767061144,42443.493791125744,12858
1704070800000,66069,0.6897127946733405,0.8981227042162164,42653.00766805792,52418
1704074400000,48425,0.9687471011891384,0.7506194161335012,42569.15643171992,35862
1704078000000,33724,2.0403507172413797,1.067615173916185,42300.17919407239,32030
1704081600000,47996,1.1088793510213144,1.273337449293786,42352.21829368933,41767
1704085200000,27787,1.0404799447894737,0.7912880563142859,42227.50368564013,28190
1704088800000,38615,0.7851344515754923,1.0292663178915664,42417.78969277592,37466
1704092400000,49751,0.8105385387689847,1.3780486986188585,42469.3394165754,33571
1704096000000,45121,0.8314376270736844,1.435275442523874,42543.57512430444,25434
1704099600000,38656,0.5342475568479119,0.7840634851750379,42649.32089350072,20275
1704103200000,33284,0.4928284611781609,0.6173334896632651,42730.27386524476,13418
1704106800000,36890,0.4706127617752808,1.2656948442185336,42643.19384068746,19534
1704110400000,39426,0.4421802157479387,0.9330695809638552,42699.47994960714,23453
1704114000000,41523,0.6750227891604604,0.9123628977923386,42732.64076150314,28998
1704117600000,70554,0.5745669047502355,0.9507658388051596,42628.25470926821,48468
1704121200000,36577,0.6177114836733286,2.2693584117254906,42795.2136233588,18739
1704124800000,27609,0.5648574497883597,0.6026250479999999,42739.97080980555,10362
1704128400000,33410,0.586852071361963,1.055690154262537,42819.425360819936,13598
1704132000000,57037,0.7873684915873811,1.4176968040903142,43151.00833653448,33493
1704135600000,35463,0.7698969056070825,0.6874986051708278,43544.481672301255,18955
1704139200000,51076,0.7629715855620673,0.8414923328749088,43699.30971058163,27631
1704142800000,17431,0.7859657186544342,1.0588526302409638,43593.5576031204,7241
1704146400000,80310,0.6134318255567264,0.7330785213405172,43474.23722371492,44173
1704150000000,52142,0.927499838697813,1.4957981618333331,44152.22690443671,29663
1704153600000,12836,1.0146217952654233,1.1150574758480327,44848.758969372335,3103
1704157200000,83470,1.2375698464676452,2.041032148604536,44812.72460420685,35845
1704160800000,35845,1.2350408067702938,1.858897815537584,45284.74808934095,15415
1704164400000,30398,1.6811002533289992,2.1244016803046355,45419.55458112398,8385
1704168000000,60518,1.0558577897111685,2.979483482392109,45240.829868622255,19756
1704171600000,42851,1.2539237053311794,1.5993287908248124,45194.10935612733,17512
1704175200000,39809,1.6905989193427835,2.440064242207164,45290.042383348016,17235
1704178800000,21847,0.7666090809156196,1.065522848011583,45507.03582518766,6050
1704182400000,29030,0.9844043309831826,2.0500595382428566,45822.22901233907,12694
1704186000000,46274,1.049411974853081,1.5504877826588397,45693.8614361032,13838
1704189600000,38211,0.8462730967798666,1.0183561587352243,45532.19391623611,14628
1704193200000,40736,0.8366407093100994,0.837885503306581,45321.83262776862,14737
1704196800000,61174,0.6679442091926606,3.0529618468332256,45349.66021478591,22970
1704200400000,60209,0.8775731207899305,1.3943386685046726,45669.29330285824,21261
1704204000000,29150,0.6186756864186426,1.5216439733706066,45295.00989465,9262
1704207600000,32447,0.6605969487780355,1.6860918138438876,45317.309612506346,8699
1704211200000,72387,0.3480573837606087,1.305598058929134,45359.67652945809,24452
1704214800000,77492,3.159824534642857,2.457421334871245,45045.55437449692,10103
1704218400000,35486,0.8364863825438066,2.193199664086429,45143.06341421128,8943
1704222000000,57402,0.4882642845428434,0.877704711088647,44925.43364136406,22035
1704225600000,67333,0.6543096054655714,0.8404795883776713,44866.89166873613,21181
1704229200000,43684,1.198214546172208,2.3017194628173714,45055.25655285199,12172
1704232800000,37564,0.5521024627656674,1.4306153686414045,44990.07915954923,11534
1704236400000,53848,2.4201242233507547,4.027523924516616,44977.03809117667,15378
1704240000000,61871,0.571604482424089,0.8424014641322313,45075.078821777104,17739
1704243600000,25699,0.9794032674878445,0.826609515298126,45316.91479501518,8443
1704247200000,47415,0.7523567594801979,0.9835082983374386,45276.8328385401,17472
1704250800000,54122,0.8108438566632126,1.1659305784625762,45236.89454245475,22666
1704254400000,43265,0.7072279398681542,0.6535325271562498,45185.87601272506,14988
1704258000000,65468,0.799059559213974,1.3621581378915044,45224.43757934839,36157
1704261600000,56967,0.6377094817793367,1.216261116248864,45324.04945590781,32997
1704265200000,39816,0.5056486611604094,0.9370992304924244,45000.59405068419,23282
1704268800000,25781,1.126047293829517,0.8084690698761063,45121.35538960798,10418
1704272400000,35499,0.4715287129042904,0.5070089166363636,45412.65984695096,14412
1704276000000,57492,0.3187906772343749,0.6305855773009855,45120.33911115737,30310
1704279600000,64533,0.6901959234139886,1.158659265470297,44147.41976626231,46274
1704283200000,59372,1.6428416764321254,2.4666177960294124,42781.58077361031,27629
1704286800000,44389,2.161196224235172,1.649850626978313,42491.09263606197,22004
1704290400000,56839,1.4277161058503138,1.7082166667764709,42273.89187106507,16078
1704294000000,74762,1.1626663161886674,1.7666919599615756,42970.04878710222,28169
1704297600000,66479,0.8572190336583848,0.9156919079976896,43051.98916942071,24404
1704301200000,32361,1.029900085611814,1.1675434998501877,42728.12869746606,10409
1704304800000,41753,0.5662459845802005,0.8881352935074045,42596.49227241108,12739
1704308400000,45987,0.591002969241517,1.130687656986778,42629.95807693702,16546
1704312000000,24629,0.5108134683631713,0.6030076014913789,42745.18702044315,6595
1704315600000,78501,0.4777498759191919,0.586316132609494,42966.07483601781,23370
1704319200000,50440,0.8789584683391002,1.3588489028991315,42773.844247059766,17143
1704322800000,88630,2.306304664567055,3.363925349618321,42830.90420516804,22347
1704326400000,35648,0.8486566783507853,1.0758543506334373,42862.61632222109,11780
