start_time,datetime,flow_mean,flow_total,transactions_count_flow
1704369600000,2024-01-04 12:00:00,0.0007522,0.18203225,242
1704373200000,2024-01-04 13:00:00,0.0766714,10.27396764,134
1704376800000,2024-01-04 14:00:00,0.0061432,1.48051054,241
1704380400000,2024-01-04 15:00:00,0.00546038,0.70984954,130
1704384000000,2024-01-04 16:00:00,0.00347475,0.63240372,182
1704387600000,2024-01-04 17:00:00,0.00138079,0.09527419,69
1704391200000,2024-01-04 18:00:00,0.0036946,0.42857339,116
1704394800000,2024-01-04 19:00:00,0.00669037,0.38135092,57
1704398400000,2024-01-04 20:00:00,0.02050143,1.4350998,70
1704402000000,2024-01-04 21:00:00,0.01117151,0.55857554,50
1704405600000,2024-01-04 22:00:00,7.868e-05,0.00904819,115
1704409200000,2024-01-04 23:00:00,0.00214506,0.20378064,95
1704412800000,2024-01-05 00:00:00,0.00204829,0.06144876,30
1704416400000,2024-01-05 01:00:00,0.00452391,0.38000858,84
1704420000000,2024-01-05 02:00:00,0.00106702,0.0597529,56
1704423600000,2024-01-05 03:00:00,0.21283191,30.43496249,143
1704427200000,2024-01-05 04:00:00,0.29262131,40.08911954,137
1704430800000,2024-01-05 05:00:00,0.00032254,0.02967334,92
1704434400000,2024-01-05 06:00:00,0.00122967,0.16354644,133
1704438000000,2024-01-05 07:00:00,0.00165018,0.13036412,79
1704441600000,2024-01-05 08:00:00,0.00811655,1.46097937,180
1704445200000,2024-01-05 09:00:00,0.0012966,0.05056728,39
1704448800000,2024-01-05 10:00:00,0.00455072,0.49602825,109
1704452400000,2024-01-05 11:00:00,0.00446348,0.32583391,73
1704456000000,2024-01-05 12:00:00,0.00225615,0.32939807,146
1704459600000,2024-01-05 13:00:00,0.00383842,0.45677178,119
1704463200000,2024-01-05 14:00:00,0.0037479,0.61840383,165
1704466800000,2024-01-05 15:00:00,0.00854306,0.89702147,105
1704470400000,2024-01-05 16:00:00,0.00583617,0.66532343,114
1704474000000,2024-01-05 17:00:00,0.00032659,0.01012418,31
1704477600000,2024-01-05 18:00:00,0.00393906,0.40178422,102
1704481200000,2024-01-05 19:00:00,0.0005086,0.01474943,29
1704484800000,2024-01-05 20:00:00,166.69273999,1000.15643993,6
1704488400000,2024-01-05 21:00:00,0.00603112,0.09649789,16
1704492000000,2024-01-05 22:00:00,0.02323635,0.25559988,11
1704495600000,2024-01-05 23:00:00,0.02344007,0.51568159,22
1704499200000,2024-01-06 00:00:00,0.01001739,0.25043463,25
1704502800000,2024-01-06 01:00:00,0.00580863,0.24977102,43
1704506400000,2024-01-06 02:00:00,0.01317494,0.88272125,67
1704510000000,2024-01-06 03:00:00,0.00159578,0.1611738,101
1704513600000,2024-01-06 04:00:00,0.20320818,9.55078423,47
1704517200000,2024-01-06 05:00:00,0.00689926,0.91760101,133
1704520800000,2024-01-06 06:00:00,0.00936476,0.57125061,61
1704524400000,2024-01-06 07:00:00,0.00058909,0.04418205,75
1704528000000,2024-01-06 08:00:00,0.00215361,0.32304105,150
1704531600000,2024-01-06 09:00:00,0.0070329,0.30241481,43
1704535200000,2024-01-06 10:00:00,0.00149637,0.18554952,124
1704538800000,2024-01-06 11:00:00,0.00133398,0.16808155,126
1704542400000,2024-01-06 12:00:00,0.00745302,0.48444626,65
