start_time,datetime,reserve,reserve_usd
1704477600000,2024-01-05 18:00:00,586853.76817958,25586690412.059837
1704481200000,2024-01-05 19:00:00,586898.69686414,25583551980.900047
1704484800000,2024-01-05 20:00:00,586338.55388904,25703578356.9046
1704488400000,2024-01-05 21:00:00,587113.72694852,25741346665.26294
1704492000000,2024-01-05 22:00:00,586765.73066399,25717748559.238853
1704495600000,2024-01-05 23:00:00,586385.31440542,25858778958.99612
1704499200000,2024-01-06 00:00:00,586629.93749722,25841903970.24607
1704502800000,2024-01-06 01:00:00,586726.75663091,25811095106.142277
1704506400000,2024-01-06 02:00:00,586800.5042951,25768832601.41832
1704510000000,2024-01-06 03:00:00,588318.25557769,25868051525.316776
1704513600000,2024-01-06 04:00:00,588345.16104791,25838155999.879112
1704517200000,2024-01-06 05:00:00,587665.14442951,25707239171.15024
1704520800000,2024-01-06 06:00:00,588351.49490171,25628880606.510803
1704524400000,2024-01-06 07:00:00,587855.34924622,25638417429.029457
1704528000000,2024-01-06 08:00:00,588862.28923897,25730620508.494812
1704531600000,2024-01-06 09:00:00,589159.50537877,25746778223.896236
1704535200000,2024-01-06 10:00:00,589174.28459869,25749729614.943325
1704538800000,2024-01-06 11:00:00,589320.33415565,25756011543.1742
1704542400000,2024-01-06 12:00:00,589347.9098361,25749327799.720676
1704546000000,2024-01-06 13:00:00,589336.88558482,25782092769.007072
1704549600000,2024-01-06 14:00:00,589234.66096914,25820654891.60344
1704553200000,2024-01-06 15:00:00,589375.32050626,25845842174.455727
1704556800000,2024-01-06 16:00:00,589346.73542935,25870995632.96948
1704560400000,2024-01-06 17:00:00,589023.73870302,25891417908.138317
1704564000000,2024-01-06 18:00:00,588898.86353773,25924815240.232018
1704567600000,2024-01-06 19:00:00,589126.06419221,25858290831.670948
1704571200000,2024-01-06 20:00:00,589202.20484486,25827604412.7248
1704574800000,2024-01-06 21:00:00,588767.64523591,25843009262.319965
1704578400000,2024-01-06 22:00:00,588946.44186307,25834758910.47826
1704582000000,2024-01-06 23:00:00,588760.05117523,25842221269.031696
1704585600000,2024-01-07 00:00:00,588751.4599454,26003494122.024136
1704589200000,2024-01-07 01:00:00,588429.5368901,25928148021.445877
1704592800000,2024-01-07 02:00:00,588305.54325983,25842948599.89298
1704596400000,2024-01-07 03:00:00,588542.40525735,25890148366.767803
1704600000000,2024-01-07 04:00:00,588522.01332219,25912933162.64006
1704603600000,2024-01-07 05:00:00,588380.93399656,25902646150.097065
1704607200000,2024-01-07 06:00:00,588380.93399656,25902646150.097065
1704610800000,2024-01-07 07:00:00,588149.74207749,25933206140.21725
1704614400000,2024-01-07 08:00:00,588482.03874609,25908736178.581818
1704618000000,2024-01-07 09:00:00,588334.53189139,25866322360.240337
1704621600000,2024-01-07 10:00:00,588560.75353246,25871804875.448586
1704625200000,2024-01-07 11:00:00,588452.07985677,25959666913.872135
1704628800000,2024-01-07 12:00:00,588547.55547475,25965120071.542984
1704632400000,2024-01-07 13:00:00,588417.61286683,26132897272.950603
1704636000000,2024-01-07 14:00:00,588484.32661396,26096779503.2684
1704639600000,2024-01-07 15:00:00,588448.25780406,25946506217.06799
1704643200000,2024-01-07 16:00:00,589312.90437437,25979666110.67006
1704646800000,2024-01-07 17:00:00,589359.07079251,25970602377.40344
1704650400000,2024-01-07 18:00:00,589411.3687085,26015281008.26008
1704654000000,2024-01-07 19:00:00,589424.31660859,25982914694.241756
1704657600000,2024-01-07 20:00:00,589527.17772827,26037701214.244495
1704661200000,2024-01-07 21:00:00,588785.96055447,26047402966.46162
1704664800000,2024-01-07 22:00:00,589512.2705401,25898905560.116253
1704668400000,2024-01-07 23:00:00,589030.81738466,25884614907.149883
1704672000000,2024-01-08 00:00:00,589946.80522869,25831006443.507786
1704675600000,2024-01-08 01:00:00,589544.54711494,25758574775.618233
1704679200000,2024-01-08 02:00:00,589370.026755,25588616138.29509
1704682800000,2024-01-08 03:00:00,588830.57838109,25643507316.5013
1704686400000,2024-01-08 04:00:00,588304.77458997,25646198408.601112
1704690000000,2024-01-08 05:00:00,588176.34554287,25599406628.326702
1704693600000,2024-01-08 06:00:00,588041.96276923,25798933631.029095
1704697200000,2024-01-08 07:00:00,589066.13909332,25864529815.109215
1704700800000,2024-01-08 08:00:00,589988.11306871,25899767959.011795
1704704400000,2024-01-08 09:00:00,589861.20770377,25874770265.769005
1704708000000,2024-01-08 10:00:00,590096.82757906,26028443616.88879
1704711600000,2024-01-08 11:00:00,589649.96200358,26314468829.859184
1704715200000,2024-01-08 12:00:00,589333.73483124,26447571725.90664
1704718800000,2024-01-08 13:00:00,588811.30125601,26499136960.556015
1704722400000,2024-01-08 14:00:00,589423.27067042,26550533172.77989
1704726000000,2024-01-08 15:00:00,589704.58769459,26523391182.623177
1704729600000,2024-01-08 16:00:00,589206.48500503,26495646629.686493
1704733200000,2024-01-08 17:00:00,590536.96421835,26908602750.76784
1704736800000,2024-01-08 18:00:00,590130.37635496,27542526054.92055
1704740400000,2024-01-08 19:00:00,589297.38276214,27663653121.056023
1704744000000,2024-01-08 20:00:00,590127.9527581,27692085530.64218
1704747600000,2024-01-08 21:00:00,590408.31292485,27821341438.87318
1704751200000,2024-01-08 22:00:00,589963.41649169,27727605862.740204
1704754800000,2024-01-08 23:00:00,590361.77317841,27701327565.932938
1704758400000,2024-01-09 00:00:00,590524.61322434,27633107129.95706
1704762000000,2024-01-09 01:00:00,590334.58394776,27375023001.734436
1704765600000,2024-01-09 02:00:00,589895.79957813,27601108533.838142
1704769200000,2024-01-09 03:00:00,590107.26528993,27725562033.097443
