start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704258000000,2024-01-03 05:00:00,0.46302603,0.86228768,102282965.98213,0.53697397,118618146.49198
1704261600000,2024-01-03 06:00:00,0.57554069,1.35593845,145802181.64583,0.42445931,107528613.7454
1704265200000,2024-01-03 07:00:00,0.4326705,0.76264409,236413885.8088,0.5673295,309992416.68905
1704268800000,2024-01-03 08:00:00,0.54187563,1.18281339,219678230.17326,0.45812437,185725180.10787
1704272400000,2024-01-03 09:00:00,0.5365685,1.15781621,344704675.02189,0.4634315,297719682.55051
1704276000000,2024-01-03 10:00:00,0.43361332,0.76557826,214694481.31308,0.56638668,280434402.12784
1704279600000,2024-01-03 11:00:00,0.44032302,0.78674493,1571147070.73327,0.55967698,1997022182.97273
1704283200000,2024-01-03 12:00:00,0.47333087,0.89872531,3425237759.94237,0.52666913,3811217664.58191
1704286800000,2024-01-03 13:00:00,0.47317795,0.89817414,666860020.70277,0.52682205,742461836.33597
1704290400000,2024-01-03 14:00:00,0.49249331,0.97041737,559273623.4162,0.50750669,576322764.10873
1704294000000,2024-01-03 15:00:00,0.54522019,1.19886628,769366047.86436,0.45477981,641744671.2104601
1704297600000,2024-01-03 16:00:00,0.48506924,0.94200867,1017568846.38218,0.51493076,1080211764.57352
1704301200000,2024-01-03 17:00:00,0.48566353,0.94425255,410018904.41095,0.51433647,434225891.24338
1704304800000,2024-01-03 18:00:00,0.44164024,0.79096,496444159.07318,0.55835976,627647620.01705
1704308400000,2024-01-03 19:00:00,0.51558092,1.06432828,563693901.59195,0.48441908,529624093.17546
1704312000000,2024-01-03 20:00:00,0.48685539,0.94876839,181006338.87465,0.51314461,190780322.40467
1704315600000,2024-01-03 21:00:00,0.50240334,1.0096598,234837698.96077,0.49759666,232590917.9861
1704319200000,2024-01-03 22:00:00,0.4311577,0.75795647,131060898.1377,0.5688423,172913488.40741
1704322800000,2024-01-03 23:00:00,0.51859136,1.07723735,119947827.86349,0.48140864,111347631.4749
1704326400000,2024-01-04 00:00:00,0.48334998,0.93554622,169665942.77168,0.51665002,181354954.396
1704330000000,2024-01-04 01:00:00,0.50061362,1.00245749,168513316.9072,0.49938638,168100212.43901
1704333600000,2024-01-04 02:00:00,0.55011507,1.22279062,240472945.03387,0.44988493,196659135.1182
1704337200000,2024-01-04 03:00:00,0.45841925,0.84644674,131264173.90922,0.54158075,155076708.78506
1704340800000,2024-01-04 04:00:00,0.45968139,0.85075988,107068127.86212,0.54031861,125849996.51636
1704344400000,2024-01-04 05:00:00,0.51084428,1.04433876,112651105.4641,0.48915572,107868356.68772
1704348000000,2024-01-04 06:00:00,0.43576467,0.77231016,87733519.4388,0.56423533,113598815.6815
1704351600000,2024-01-04 07:00:00,0.43722261,0.77690151,355036477.423,0.56277739,456990330.63113
1704355200000,2024-01-04 08:00:00,0.51884123,1.07831606,211160554.86444,0.48115877,195824361.88968
1704358800000,2024-01-04 09:00:00,0.50944858,1.03852227,169534672.79654,0.49055142,163246064.192
1704362400000,2024-01-04 10:00:00,0.49555085,0.98236035,294786538.19761,0.50444915,300079841.72917
1704366000000,2024-01-04 11:00:00,0.51160302,1.04751469,221776186.69608,0.48839698,211716540.22886
1704369600000,2024-01-04 12:00:00,0.52769461,1.11727417,354756223.18788,0.47230539,317519399.18518
1704373200000,2024-01-04 13:00:00,0.50419147,1.01690762,230404179.60841,0.49580853,226573363.6797
1704376800000,2024-01-04 14:00:00,0.52704223,1.11435368,473113950.94006,0.47295777,424563545.27607
1704380400000,2024-01-04 15:00:00,0.50805137,1.03273256,933726124.12909,0.49194863,904131584.5219
1704384000000,2024-01-04 16:00:00,0.46174389,0.85785166,403160149.82129,0.53825611,469964877.31973
1704387600000,2024-01-04 17:00:00,0.50971458,1.03962825,394885960.45594,0.49028542,379833809.93628
1704391200000,2024-01-04 18:00:00,0.51773883,1.07356525,177702968.05924,0.48226117,165526006.64645
1704394800000,2024-01-04 19:00:00,0.4974017,0.98966055,461413083.43329,0.5025983,466233684.08498
1704398400000,2024-01-04 20:00:00,0.54005742,1.17418444,634824973.76936,0.45994258,540651835.72087
1704402000000,2024-01-04 21:00:00,0.51727809,1.0715861,392342948.48548,0.48272191,366132922.14073
1704405600000,2024-01-04 22:00:00,0.47922281,0.92020698,340986429.84134,0.52077719,370554057.58341
1704409200000,2024-01-04 23:00:00,0.47563548,0.90707031,158486499.59906,0.52436452,174723500.00551
1704412800000,2024-01-05 00:00:00,0.51421098,1.05850681,222660169.84571,0.48578902,210353081.7429
1704416400000,2024-01-05 01:00:00,0.46372986,0.86473184,963416419.80448,0.53627014,1114121601.22411
1704420000000,2024-01-05 02:00:00,0.52173326,1.09088344,551351561.5896,0.47826674,505417481.93587
1704423600000,2024-01-05 03:00:00,0.4959866,0.98407425,185817855.64356,0.5040134,188825036.28857
1704427200000,2024-01-05 04:00:00,0.49387725,0.97580527,269945685.52579,0.50612275,276638889.69977
1704430800000,2024-01-05 05:00:00,0.49752748,0.99015857,148172484.72072,0.50247252,149645207.7526
1704434400000,2024-01-05 06:00:00,0.54966728,1.22058038,228481900.60293,0.45033272,187191196.2715
1704438000000,2024-01-05 07:00:00,0.46846442,0.88134162,140253288.62733,0.53153558,159136123.24648
1704441600000,2024-01-05 08:00:00,0.4995137,0.99805671,136375400.58713,0.5004863,136640933.7598
1704445200000,2024-01-05 09:00:00,0.51392184,1.05728232,475000592.17392,0.48607816,449265617.18523
1704448800000,2024-01-05 10:00:00,0.43981503,0.78512464,294247769.54447,0.56018497,374778414.63438
1704452400000,2024-01-05 11:00:00,0.5087729,1.03571829,246361765.24985,0.4912271,237865613.07004
1704456000000,2024-01-05 12:00:00,0.50651397,1.02639983,309240534.49736,0.49348603,301286619.63961
1704459600000,2024-01-05 13:00:00,0.51422552,1.05856842,373328707.18516,0.48577448,352673194.82157
1704463200000,2024-01-05 14:00:00,0.45653381,0.84004085,621984210.77725,0.54346619,740421383.3834901
1704466800000,2024-01-05 15:00:00,0.48998372,0.96072174,425055337.34198,0.51001628,442433350.72154
1704470400000,2024-01-05 16:00:00,0.48800464,0.95314268,317817672.70123,0.51199536,333441863.32526
1704474000000,2024-01-05 17:00:00,0.53207952,1.13711527,424889248.29773,0.46792048,373655389.77694
1704477600000,2024-01-05 18:00:00,0.49543042,0.98188721,164994198.25616,0.50456958,168037831.69303
1704481200000,2024-01-05 19:00:00,0.50262264,1.01054586,202192447.1395,0.49737736,200082406.62557
1704484800000,2024-01-05 20:00:00,0.55119721,1.22815013,610518408.79034,0.44880279,497104052.87532
1704488400000,2024-01-05 21:00:00,0.47574868,0.9074821,263426662.43182,0.52425132,290283039.84919
1704492000000,2024-01-05 22:00:00,0.48537555,0.94316457,124987254.2076,0.51462445,132519030.08613
1704495600000,2024-01-05 23:00:00,0.49280603,0.97163229,324904105.69855,0.50719397,334389984.79874
1704499200000,2024-01-06 00:00:00,0.48114855,0.92733393,130116893.52299,0.51885145,140312879.44565
1704502800000,2024-01-06 01:00:00,0.48186854,0.93001211,119136532.9802,0.51813146,128102131.32067
1704506400000,2024-01-06 02:00:00,0.44679697,0.80765461,110171021.3504,0.55320303,136408583.11985
1704510000000,2024-01-06 03:00:00,0.51146386,1.04693148,110401499.79015,0.48853614,105452459.551
1704513600000,2024-01-06 04:00:00,0.48089115,0.92637826,61852063.8023,0.51910885,66767611.66643
1704517200000,2024-01-06 05:00:00,0.48872535,0.95589592,198205623.3882,0.51127465,207350631.58709
1704520800000,2024-01-06 06:00:00,0.48491532,0.94142837,230889738.15727,0.51508468,245254706.98179
1704524400000,2024-01-06 07:00:00,0.53628572,1.15650034,199491312.19609,0.46371428,172495679.23796
1704528000000,2024-01-06 08:00:00,0.53859191,1.16727887,127151699.4078,0.46140809,108930010.3574
1704531600000,2024-01-06 09:00:00,0.46505158,0.86933911,84990358.3803,0.53494842,97764333.293
1704535200000,2024-01-06 10:00:00,0.56235676,1.28496616,126829851.81954,0.43764324,98702872.85977
1704538800000,2024-01-06 11:00:00,0.42766715,0.74723501,64796953.3396,0.57233285,86715628.56797
1704542400000,2024-01-06 12:00:00,0.44611087,0.80541546,80599175.15264,0.55388913,100071551.66047
1704546000000,2024-01-06 13:00:00,0.57337112,1.34395757,110251085.84134,0.42662888,82034647.6108
1704549600000,2024-01-06 14:00:00,0.53732889,1.16136251,198513088.34827,0.46267111,170931201.426
1704553200000,2024-01-06 15:00:00,0.52105041,1.08790239,95305972.4741,0.47894959,87605260.2973
1704556800000,2024-01-06 16:00:00,0.50398328,1.01606105,107430838.05686,0.49601672,105732660.2318
1704560400000,2024-01-06 17:00:00,0.53935747,1.17088077,117945299.01255,0.46064253,100732117.4592
1704564000000,2024-01-06 18:00:00,0.51659798,1.06867154,187512949.56145,0.48340202,175463593.99835
1704567600000,2024-01-06 19:00:00,0.46473218,0.86822363,99780930.7871,0.53526782,114925379.83885
1704571200000,2024-01-06 20:00:00,0.42281129,0.73253563,139260601.86723,0.57718871,190107615.62562
1704574800000,2024-01-06 21:00:00,0.52067697,1.08627573,100971916.31665,0.47932303,92952381.30904
1704578400000,2024-01-06 22:00:00,0.53311068,1.14183525,74500177.32923,0.46688932,65245995.46784
1704582000000,2024-01-06 23:00:00,0.5131331,1.05394945,112991798.43348,0.4868669,107207986.37934
1704585600000,2024-01-07 00:00:00,0.53929974,1.17060871,243229804.36746,0.46070026,207780620.7385
1704589200000,2024-01-07 01:00:00,0.4173851,0.71639964,93600183.5571,0.5826149,130653588.37374
1704592800000,2024-01-07 02:00:00,0.46458211,0.86770001,134864685.5412,0.53541789,155427779.71091
1704596400000,2024-01-07 03:00:00,0.51745079,1.07232749,74229004.95765,0.48254921,69222327.7573
1704600000000,2024-01-07 04:00:00,0.50362854,1.01462025,76079951.3601,0.49637146,74983671.5851
1704603600000,2024-01-07 05:00:00,0.41727771,0.7160833,73068068.6219,0.58272229,102038503.32903
1704607200000,2024-01-07 06:00:00,0.55540568,1.24924153,140494085.93415,0.44459432,112463509.1175
1704610800000,2024-01-07 07:00:00,0.51132441,1.04634736,78164852.79449,0.48867559,74702585.5334
1704614400000,2024-01-07 08:00:00,0.45068511,0.82044948,112310608.07356,0.54931489,136889120.5869
1704618000000,2024-01-07 09:00:00,0.46603456,0.87278037,127233296.5075,0.53396544,145779283.10645
1704621600000,2024-01-07 10:00:00,0.50525981,1.02126291,78306230.4757,0.49474019,76675878.0138
1704625200000,2024-01-07 11:00:00,0.54045562,1.17606841,130999899.41379,0.45954438,111387992.6402
1704628800000,2024-01-07 12:00:00,0.50550136,1.02225027,109554022.16249,0.49449864,107169472.79245
1704632400000,2024-01-07 13:00:00,0.55379281,1.24111134,436925628.20898,0.44620719,352043862.22746
1704636000000,2024-01-07 14:00:00,0.50051832,1.00207543,234526798.01979,0.49948168,234041062.86166
1704639600000,2024-01-07 15:00:00,0.41868174,0.72022809,285623757.6271,0.58131826,396574029.61068
1704643200000,2024-01-07 16:00:00,0.47675548,0.91115235,245286564.63589,0.52324452,269204777.70032
1704646800000,2024-01-07 17:00:00,0.511994,1.04915515,259645429.11998,0.488006,247480489.70178
1704650400000,2024-01-07 18:00:00,0.48203345,0.9306266,85538489.66631,0.51796655,91914942.1683
1704654000000,2024-01-07 19:00:00,0.58704942,1.42159727,125837862.77543,0.41295058,88518644.1571
1704657600000,2024-01-07 20:00:00,0.38076324,0.6148912,55268604.8919,0.61923676,89883550.9632
1704661200000,2024-01-07 21:00:00,0.48526704,0.94275493,71825932.36206,0.51473296,76187278.72749
1704664800000,2024-01-07 22:00:00,0.47241759,0.89543848,237593043.4068,0.52758241,265337091.76875
1704668400000,2024-01-07 23:00:00,0.47869373,0.91825813,360985226.43247,0.52130627,393119553.8740499
1704672000000,2024-01-08 00:00:00,0.46838525,0.88106143,227317264.4805,0.53161475,258003876.77283
1704675600000,2024-01-08 01:00:00,0.51946413,1.0810101,157048012.92994,0.48053587,145278950.655
1704679200000,2024-01-08 02:00:00,0.4281438,0.74869137,335139780.5917,0.5718562,447634090.29433
