start_time,datetime,flow_mean,flow_total,transactions_count_flow
1704369600000,2024-01-04 12:00:00,4.13474514,231.5457277,56
1704373200000,2024-01-04 13:00:00,1.5887206,46.07289736,29
1704376800000,2024-01-04 14:00:00,5.16833673,237.74348954,46
1704380400000,2024-01-04 15:00:00,3.44929032,110.37729033,32
1704384000000,2024-01-04 16:00:00,5.21832542,485.3042645,93
1704387600000,2024-01-04 17:00:00,2.05773712,51.44342805,25
1704391200000,2024-01-04 18:00:00,12.61567005,605.55216243,48
1704394800000,2024-01-04 19:00:00,1.49899273,49.46675997,33
1704398400000,2024-01-04 20:00:00,2.61339307,101.92232988,39
1704402000000,2024-01-04 21:00:00,0.95302819,20.01359189,21
1704405600000,2024-01-04 22:00:00,3.30222753,128.78687378,39
1704409200000,2024-01-04 23:00:00,1.91348561,76.53942429,40
1704412800000,2024-01-05 00:00:00,3.8651833,88.89921594,23
1704416400000,2024-01-05 01:00:00,3.52634601,236.2651826,67
1704420000000,2024-01-05 02:00:00,3.60606792,100.96990176,28
1704423600000,2024-01-05 03:00:00,2.6382007,123.99543268,47
1704427200000,2024-01-05 04:00:00,4.45792934,231.81232594,52
1704430800000,2024-01-05 05:00:00,0.8483749,22.90612223,27
1704434400000,2024-01-05 06:00:00,3.42261026,126.63657955,37
1704438000000,2024-01-05 07:00:00,6.39543868,262.21298598,41
1704441600000,2024-01-05 08:00:00,3.87661797,186.07766254,48
1704445200000,2024-01-05 09:00:00,0.46421697,12.53385808,27
1704448800000,2024-01-05 10:00:00,1.89470571,75.78822831,40
1704452400000,2024-01-05 11:00:00,8.58698667,317.71850681,37
1704456000000,2024-01-05 12:00:00,2.19856218,74.75111398,34
1704459600000,2024-01-05 13:00:00,1.31519856,40.77115528,31
1704463200000,2024-01-05 14:00:00,9.98140438,449.1631972,45
1704466800000,2024-01-05 15:00:00,2.11244388,57.03598473,27
1704470400000,2024-01-05 16:00:00,0.47841408,18.17973506,38
1704474000000,2024-01-05 17:00:00,0.49555145,9.41547749,19
1704477600000,2024-01-05 18:00:00,3.8364343,268.5504009,70
1704481200000,2024-01-05 19:00:00,0.52870995,13.74645873,26
1704484800000,2024-01-05 20:00:00,3.57113286,192.84117434,54
1704488400000,2024-01-05 21:00:00,1.15505471,42.73702422,37
1704492000000,2024-01-05 22:00:00,3.28148891,131.25955636,40
1704495600000,2024-01-05 23:00:00,1.61129448,61.22919041,38
1704499200000,2024-01-06 00:00:00,3.97360802,174.83875274,44
1704502800000,2024-01-06 01:00:00,1.01318886,40.52755427,40
1704506400000,2024-01-06 02:00:00,2.75758249,129.60637702,47
1704510000000,2024-01-06 03:00:00,42.98272044,1719.30881743,40
1704513600000,2024-01-06 04:00:00,1.4011145,63.05015258,45
1704517200000,2024-01-06 05:00:00,15.02616638,736.28215285,49
1704520800000,2024-01-06 06:00:00,0.67838184,21.02983692,31
1704524400000,2024-01-06 07:00:00,4.99374501,194.75605546,39
1704528000000,2024-01-06 08:00:00,0.71999489,33.11976483,46
1704531600000,2024-01-06 09:00:00,1.01410352,20.28207045,20
1704535200000,2024-01-06 10:00:00,165.05279128,8252.63956419,50
1704538800000,2024-01-06 11:00:00,0.53617754,14.47679359,27
1704542400000,2024-01-06 12:00:00,5.03977282,161.27273035,32
1704546000000,2024-01-06 13:00:00,3.1393345,131.85204907,42
1704549600000,2024-01-06 14:00:00,4.45403722,187.06956322,42
1704553200000,2024-01-06 15:00:00,1.07013596,28.89367079,27
1704556800000,2024-01-06 16:00:00,2.25762306,106.10828385,47
1704560400000,2024-01-06 17:00:00,3.78559562,147.63822937,39
1704564000000,2024-01-06 18:00:00,1.50163555,57.06215099,38
1704567600000,2024-01-06 19:00:00,0.98090238,26.48436437,27
