start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
1704308400000,2024-01-03 19:00:00,1.87462842,79699.36538,9.62396953,411102.76095
1704312000000,2024-01-03 20:00:00,0.288,12212.26685,1.177,50523.55449
1704315600000,2024-01-03 21:00:00,0.2830707,12014.19466,14.80709304,635922.43183
1704319200000,2024-01-03 22:00:00,3.77144361,160341.59623,0.029,1249.81039
1704322800000,2024-01-03 23:00:00,0.377,16015.78991,1.819,78218.79234
1704326400000,2024-01-04 00:00:00,0.035,1498.40355,1.82916241,78796.17734
1704330000000,2024-01-04 01:00:00,4.74910277,202105.23832,0.482,20690.1839
1704333600000,2024-01-04 02:00:00,0.002,85.9046,12.91785014,558044.10233
1704337200000,2024-01-04 03:00:00,0.801,34345.53882,0.76216131,33052.62844
1704340800000,2024-01-04 04:00:00,0.65328006,27984.16073,1.699,73642.50169
1704344400000,2024-01-04 05:00:00,0.076,3273.64886,1.625,70542.06329
1704348000000,2024-01-04 06:00:00,0.052,2233.23019,0.167,7189.11218
1704351600000,2024-01-04 07:00:00,5.41036492,231328.86138,0.589,25536.75831
1704355200000,2024-01-04 08:00:00,3.53307043,150626.57498,2.297,98962.74112
1704358800000,2024-01-04 09:00:00,0.0,0.0,3.39914758,146903.63937
1704362400000,2024-01-04 10:00:00,3.66691593,156354.99727,7.02123115,302817.25648
1704366000000,2024-01-04 11:00:00,0.142,6094.29288,7.87771661,341607.37554
1704369600000,2024-01-04 12:00:00,1.919,82520.92558,37.73831713,1647473.68542
1704373200000,2024-01-04 13:00:00,1.24462606,53559.03083,2.65982474,115997.31875
1704376800000,2024-01-04 14:00:00,2.1681158,93509.64948,5.72934762,250568.42931
1704380400000,2024-01-04 15:00:00,3.53287295,154953.17659,23.26709716,1028290.23537
1704384000000,2024-01-04 16:00:00,6.37547598,278453.60164,2.69781406,119129.40682
1704387600000,2024-01-04 17:00:00,8.45716012,369717.75654,8.98379575,398353.39975
1704391200000,2024-01-04 18:00:00,0.618,27029.90673,0.80939982,35838.80283
1704394800000,2024-01-04 19:00:00,6.67430035,292826.83958,10.99500259,489646.71544
1704398400000,2024-01-04 20:00:00,4.00304542,176177.02817,4.02865163,179348.64497
1704402000000,2024-01-04 21:00:00,2.44722677,107842.27494,1.13026937,50386.02719
1704405600000,2024-01-04 22:00:00,10.14950614,448026.51107,8.25941773,369904.39713
1704409200000,2024-01-04 23:00:00,3.53216499,155177.03857,0.0,0.0
1704412800000,2024-01-05 00:00:00,16.3641824,717367.54207,2.052,91078.40094
1704416400000,2024-01-05 01:00:00,26.00594294,1128691.48745,16.5453,718403.86139
1704420000000,2024-01-05 02:00:00,9.99589922,432263.80905,17.11077301,751907.43022
1704423600000,2024-01-05 03:00:00,0.571,24714.2976,9.064,397709.42068
1704427200000,2024-01-05 04:00:00,1.5317829,66113.47893,2.094,91512.50306
1704430800000,2024-01-05 05:00:00,0.617,26752.65437,2.09084268,91677.50319
1704434400000,2024-01-05 06:00:00,0.0,0.0,4.3442919,191084.75974
1704438000000,2024-01-05 07:00:00,0.509,22165.41156,0.348,15327.61801
1704441600000,2024-01-05 08:00:00,0.339,14800.41337,2.22704531,98197.39785
1704445200000,2024-01-05 09:00:00,0.34,14899.78636,17.64042819,784017.95689
1704448800000,2024-01-05 10:00:00,10.40897798,453746.95743,0.752,32994.89802
1704452400000,2024-01-05 11:00:00,0.557,24319.41122,4.42115867,194324.12507
1704456000000,2024-01-05 12:00:00,4.00907925,174780.3784,9.01742923,398831.97553
1704459600000,2024-01-05 13:00:00,3.63160195,158444.96083,3.993,176358.83104
1704463200000,2024-01-05 14:00:00,10.76872921,467975.43814,5.074,223474.37106
1704466800000,2024-01-05 15:00:00,5.38054612,233126.05611,2.14331885,94046.66602
1704470400000,2024-01-05 16:00:00,8.34366684,359718.24177,0.266,11622.63888
1704474000000,2024-01-05 17:00:00,3.31525602,142674.87946,4.82563114,210592.54347
1704477600000,2024-01-05 18:00:00,0.018,778.68923,3.716,162785.70201
1704481200000,2024-01-05 19:00:00,0.12103141,5252.26508,1.57968828,69394.62714
1704484800000,2024-01-05 20:00:00,11.902,520011.23136,5.21683569,230274.8428
1704488400000,2024-01-05 21:00:00,7.2758512,316681.74192,0.83520531,36765.93833
1704492000000,2024-01-05 22:00:00,0.689,30397.13,3.44,151837.97606
1704495600000,2024-01-05 23:00:00,0.99220496,43552.47122,6.31343993,280055.76207
1704499200000,2024-01-06 00:00:00,0.167,7329.21844,0.169,7490.96142
1704502800000,2024-01-06 01:00:00,4.155,181997.44623,0.003,132.4578
1704506400000,2024-01-06 02:00:00,1.051,45902.64495,0.0,0.0
1704510000000,2024-01-06 03:00:00,0.019,830.4045,0.023,1012.42472
1704513600000,2024-01-06 04:00:00,0.692,30254.7223,0.277,12196.66342
1704517200000,2024-01-06 05:00:00,25.67437804,1116778.31336,0.479,21037.46174
1704520800000,2024-01-06 06:00:00,9.12683989,395661.74213,2.43,106270.55737
1704524400000,2024-01-06 07:00:00,0.43236982,18727.33175,0.72153278,31571.73957
1704528000000,2024-01-06 08:00:00,0.05,2175.3312,0.68709107,30114.12379
1704531600000,2024-01-06 09:00:00,0.0,0.0,2.339,102664.92008
1704535200000,2024-01-06 10:00:00,0.17,7383.9053,0.136,5975.09931
1704538800000,2024-01-06 11:00:00,0.015,652.35793,0.017,744.05809
1704542400000,2024-01-06 12:00:00,1.49902304,65041.54525,0.088,3858.73631
1704546000000,2024-01-06 13:00:00,0.04,1734.8948,0.492,21585.54413
1704549600000,2024-01-06 14:00:00,0.13323553,5817.19592,52.32290817,2315650.68986
1704553200000,2024-01-06 15:00:00,0.042,1845.42855,0.195,8587.50544
1704556800000,2024-01-06 16:00:00,0.091,3984.67236,1.25279556,55288.65049
1704560400000,2024-01-06 17:00:00,0.01,455.2481,3.539,156274.62063
1704564000000,2024-01-06 18:00:00,0.085,3724.18151,7.18006782,317869.56771
1704567600000,2024-01-06 19:00:00,3.695,161553.59924,0.175,7710.45275
1704571200000,2024-01-06 20:00:00,3.85304014,168029.75788,0.027,1191.49114
1704574800000,2024-01-06 21:00:00,1.041,45358.58173,0.091,4012.09813
1704578400000,2024-01-06 22:00:00,1.491,65056.2287,0.013,571.96786
1704582000000,2024-01-06 23:00:00,2.027,88535.09753,0.604,26645.36574
1704585600000,2024-01-07 00:00:00,0.1,4386.78512,7.15569957,316920.17934
1704589200000,2024-01-07 01:00:00,0.77520517,33985.15356,0.0,0.0
1704592800000,2024-01-07 02:00:00,13.438,586966.58661,1.159,51221.34795
1704596400000,2024-01-07 03:00:00,0.84,36784.97497,0.507,22380.6785
1704600000000,2024-01-07 04:00:00,0.25,10928.9175,0.0,0.0
1704603600000,2024-01-07 05:00:00,2.36386938,103407.76848,1.584,69994.71015
1704607200000,2024-01-07 06:00:00,0.01,437.7979,0.938,41423.70827
1704610800000,2024-01-07 07:00:00,0.326,14298.74042,1.455,64378.91059
1704614400000,2024-01-07 08:00:00,1.059,46453.03719,2.10472167,93289.19724
1704618000000,2024-01-07 09:00:00,4.03318313,176553.19609,0.091,4018.09398
1704621600000,2024-01-07 10:00:00,0.0,0.0,0.003,132.32073
1704625200000,2024-01-07 11:00:00,0.123,5449.28289,1.704,75401.54568
