start_time,datetime,flow_mean,flow_total,transactions_count_flow,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,netflow_total,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,reserve,reserve_usd,transactions_count_inflow,transactions_count_outflow,is_shutdown,exchange_supply_ratio,exchange_whale_ratio,funding_rates,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,open_interest,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704106800000,2024-01-01 11:00:00,6.26273174,194.14468394,31,0.06156543,0.38172519,21.1782233,31.76775958,-388.66217326,13.5622559,8.26686401,409.00449826,420.42993284,581100.84110506,24803052411.21004,516,31,0,0.02966828,0.66665776,0.03315177,0.0,0.0,0.284,12200.47593,4104341085.3446,42690.2,42762.39,42605.21,42691.1,785.16567,0.46463191,0.86787373,114714609.83299,0.53536809,132178916.59428
1704110400000,2024-01-01 12:00:00,1.80978186,70.58149253,39,0.71611866,0.46554926,370.2421943,383.8396023,68.55851822,8.08413036,7.76839504,296.71270436,315.28108408,581169.39962328,24825486185.008102,536,39,0,0.02967173,0.96457529,0.0349671,0.129,5483.14981,0.995,42712.27815,4100379613.024,42648.38,42780.0,42611.45,42690.21,785.52851,0.51493835,1.06159361,137430097.87313,0.48506165,129456410.52198
1704114000000,2024-01-01 13:00:00,5.11475181,179.0163133,35,0.0505101,0.35247831,13.67586718,24.9519889,-230.35439052,7.29446798,7.62703003,229.4638692,255.30637942,580939.04523276,24815321389.621822,494,35,0,0.0296599,0.54808726,0.03618223,0.008,342.65473,0.04,1716.41224,4105956978.7406,42715.54,42748.0,42612.76,42648.37,497.2024,0.54460649,1.19590304,73813297.3727,0.45539351,61721807.8349
1704117600000,2024-01-01 14:00:00,1.43931723,64.76927537,45,0.88259404,0.43275797,508.72891825,534.85198769,293.10941022,5.37205728,6.85466037,217.10424791,241.74257747,581232.15464298,24779149153.771297,606,45,0,0.02967476,0.95115832,0.0358992,0.11423554,4855.04716,0.395,16928.74425,4092511634.1633,42612.24,42715.55,42580.0,42715.54,711.01152,0.44113955,0.78935546,97722454.5516,0.55886045,123800314.6106
1704121200000,2024-01-01 15:00:00,0.98643999,29.59319961,30,0.0539012,0.30082723,14.62455809,25.76477182,-129.06432986000002,5.16097006,6.55798985,134.26905761,154.82910168,581103.09031312,24877291915.06088,478,30,0,0.02966812,0.56761838,0.03443753,0.022,935.03872,18.64544618,803106.45522,4096487255.856,42783.05,42847.07,42586.51,42612.24,942.70163,0.53641074,1.15708192,185809675.03189,0.46358926,160584719.2526
1704124800000,2024-01-01 16:00:00,0.84810854,28.83569026,34,0.39984537,0.34935481,155.76941356,168.73474405,-136.5193368,8.9780612,7.70143527,263.19450241,305.25408085,580966.57097632,24851855594.478203,422,34,0,0.02966112,0.92316147,0.03322093,2.846,121271.12101,0.66423224,28556.33524,4106975568.1869,42725.15,42856.0,42664.42,42783.05,918.71056,0.48863538,0.95555179,146544715.5782,0.51136462,153361353.4606
1704128400000,2024-01-01 17:00:00,2.31414161,94.87980619,41,0.11890677,0.32620594,44.24389631,61.11808072,-274.34426229,8.18200837,8.09056445,315.11627219,335.46234301,580692.22671403,24867666066.742867,514,41,0,0.02964708,0.72390847,0.0315335,0.028,1192.76718,0.05,2151.19056,4110867440.4253,42812.7,42824.9,42704.42,42725.15,677.33678,0.48972756,0.95973742,70648012.7228,0.51027244,73611814.5421
1704132000000,2024-01-01 18:00:00,3.33583285,163.45580942,49,0.70633239,0.4183155,394.64199539,455.58439331,-343.24420902,16.30262454,8.48204568,715.91454331,798.82860233,580348.98250501,25050849415.454346,645,49,0,0.02962946,0.86623247,0.03156728,0.025,1072.53709,20.70399081,894888.73498,4131479424.2528,43111.1,43208.86,42812.7,42812.71,2143.30897,0.54307977,1.18856582,437599594.0568,0.45692023,368174473.71302
1704135600000,2024-01-01 19:00:00,3.18458024,111.46030852,35,0.05869137,0.32439732,10.41606757,28.17185762,-487.19544599,14.7247801,9.43070993,474.27104126,515.36730361,579861.78705902,25253091702.82478,480,35,0,0.02960454,0.36973308,0.03203463,0.028,1203.41592,42.64105256,1862297.56802,4196758647.8586,43517.99,43550.0,43103.64,43111.1,1947.61533,0.55093659,1.226857,397514846.03325,0.44906341,324010741.6068
1704139200000,2024-01-01 20:00:00,1.69254923,59.23922301,35,0.85790055,0.43973881,462.87988359,493.29281413,91.53330959,11.47884299,10.02847779,355.65105309,401.75950454,579953.32036861,25342276469.44593,575,35,0,0.02960915,0.9383471,0.03642857,0.154,6703.79702,258.40879704,11384001.70417,4280787142.4244,43687.86,43829.99,43510.71,43517.98,2905.07295,0.561509,1.28054853,573008340.23744,0.438491,447471006.58741
