start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count,exchange_whale_ratio,reserve_usd
1704304800000,1143,0.50303524,10.60101793,42255.72,702,0.90927544,24972897460.99726
1704308400000,2255,0.43636736,8.65525446,42596.67,713,0.82583237,25157644411.49015
1704312000000,601,0.14137637,8.9524342,42721.02,345,0.80226418,24957542538.50605
1704315600000,2635,0.88182718,4.54886358,42917.62,1141,0.91119858,25188867508.831898
1704319200000,1743,1.35853285,8.7070209,42749.68,651,0.87968933,25067933793.720818
1704322800000,1173,0.66725316,5.98658753,42845.23,674,0.88719944,25141017747.94525
1704326400000,2137,1.03736516,5.4928992,42874.01,423,0.95390138,25143330911.313324
1704330000000,757,0.56122907,8.69826972,42708.01,480,0.94342395,25074418728.75995
1704333600000,2419,0.0450556,2.61652714,43138.49,722,0.53255201,25265068133.78213
1704337200000,1051,2.27478046,13.48814926,43102.8,470,0.91233938,25256586713.879925
1704340800000,965,1.5389294,14.43979211,43149.99,380,0.96542563,25347300281.194767
1704344400000,719,0.88936349,6.54328749,43183.74,345,0.96349669,25372961977.51358
1704348000000,2494,0.26015679,4.01365728,43155.46,425,0.85113501,25365871617.05374
1704351600000,811,0.76494105,8.29526525,42763.08,616,0.95386533,25129087556.61762
1704355200000,1551,1.80580866,3.61820724,42849.66,627,0.8887238,25163442712.228348
1704358800000,1038,0.2789281,12.7042268,43007.74,774,0.85816305,25298700193.1854
1704362400000,1439,0.66839743,11.72040597,43073.26,858,0.88227435,25336281438.231705
1704366000000,832,0.93484338,6.32022925,43176.32,754,0.9376295,25398033876.7654
1704369600000,3368,0.56860286,8.67544682,43378.12,788,0.91408676,25517480255.924
1704373200000,688,0.27659308,7.87931847,43346.68,531,0.86461624,25526689907.89365
1704376800000,2062,0.90269958,24.06237508,43676.07,1051,0.85382191,25646829223.129063
1704380400000,1214,0.8581879,44.83507824,44051.1,852,0.9101369,25899263627.59672
1704384000000,3788,1.86550281,13.95945959,43915.71,1043,0.83415395,25819653290.193527
1704387600000,961,0.6577978,17.26129152,43990.01,560,0.94308179,25834701641.81231
1704391200000,1842,0.17293512,15.91347412,44048.96,954,0.75745849,25879708846.36366
