start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_account,longShortRatio,shortAccount
1.70419E+12,80703.04,81326.05,80624.17,81272.17,0.048489,0.048489,0.035505,0.03733,48.99,0.96,51.01
1.70419E+12,80154.94,80758.47,80154.94,80703.04,0.059678,0.059678,0.048489,0.048489,48.2,0.93,51.8
1.7042E+12,79932.55,80215.8,79900.37,80154.94,0.065766,0.065766,0.059678,0.059678,48.15,0.93,51.85
1.7042E+12,80958.3,80958.3,79684.07,79932.55,0.067907,0.067958,0.065766,0.065766,47.97,0.92,52.03
1.7042E+12,79881.21,81491.88,79309.89,80958.3,0.06103,0.067907,0.06103,0.067907,47.96,0.92,52.04
1.70421E+12,80147.23,80285.45,79075.65,79881.21,0.053942,0.06103,0.053942,0.06103,47.26,0.9,52.74
1.70421E+12,80983.6,81029.28,80147.23,80147.23,0.049513,0.053942,0.049513,0.053942,47.85,0.92,52.15
1.70421E+12,80625.44,81117.94,80513.97,80983.6,0.0402,0.049513,0.0402,0.049513,48.43,0.94,51.57
1.70422E+12,81328.89,81328.89,80622.46,80625.44,0.031987,0.0402,0.031987,0.0402,48.69,0.95,51.31
1.70422E+12,80323.39,81478.16,80321.77,81328.89,0.026557,0.031987,0.026517,0.031987,48.71,0.95,51.29
1.70423E+12,80374.35,80842.01,80134.23,80323.39,0.024466,0.026557,0.0244,0.026557,48.93,0.96,51.07
1.70423E+12,80510.91,80510.91,79837.79,80374.35,0.025008,0.025008,0.023729,0.024466,49.31,0.97,50.69
1.70423E+12,79834.3,80511.46,79814.66,80510.91,0.023963,0.025512,0.023963,0.025008,49.63,0.99,50.37
1.70424E+12,79785.33,80247.63,79743.35,79834.3,0.021201,0.023963,0.021201,0.023963,50.37,1.02,49.63
1.70424E+12,80287.16,80348.02,79785.33,79785.33,0.021715,0.021715,0.020982,0.021201,50.69,1.03,49.31
1.70424E+12,80587.28,80587.28,80274.37,80287.16,0.022034,0.022034,0.021711,0.021715,51.15,1.05,48.85
1.70425E+12,80596.39,80670.72,80380.68,80587.28,0.022714,0.022841,0.022034,0.022034,51.39,1.06,48.61
1.70425E+12,80439.88,80611.2,80428.73,80596.39,0.02239,0.022742,0.021911,0.022714,51.28,1.05,48.72
1.70425E+12,80445.67,80468.51,80379.21,80439.88,0.02221,0.022691,0.022158,0.02239,51.06,1.04,48.94
1.70426E+12,80389.94,80445.67,80211.69,80445.67,0.020919,0.022261,0.020919,0.02221,51.11,1.05,48.89
1.70426E+12,80328.04,80389.94,80186.93,80389.94,0.019528,0.020919,0.019515,0.020919,51.49,1.06,48.51
1.70427E+12,80406.07,80820.14,80261.77,80328.04,0.017204,0.019668,0.017204,0.019528,51.51,1.06,48.49
1.70427E+12,80277.82,80473.42,80117.42,80406.07,0.014341,0.017204,0.014341,0.017204,51.79,1.07,48.21
1.70427E+12,79931.99,80595.4,79887.38,80277.82,0.015587,0.015663,0.01428,0.014341,52.06,1.09,47.94
1.70428E+12,79498.11,80069.23,79366.96,79931.99,0.014736,0.015952,0.014736,0.015587,51.43,1.06,48.57
1.70428E+12,74970.51,79614.7,74761.83,79498.11,0.012069,0.014756,0.012069,0.014736,52.21,1.09,47.79
1.70428E+12,67604.43,74970.51,67252.25,74970.51,0.01,0.012069,0.01,0.012069,56.42,1.3,43.58
1.70429E+12,68090.44,68330.81,67442.5,67604.43,0.01,0.01,0.01,0.01,62.34,1.66,37.66
1.70429E+12,68925.37,68931.97,68090.44,68090.44,0.01,0.01,0.01,0.01,61.84,1.62,38.16
1.70429E+12,69515.97,69580.99,68571.48,68925.37,0.01,0.01,0.01,0.01,61.85,1.62,38.15
1.7043E+12,68713.12,69738.01,68439.68,69515.97,0.01,0.01,0.01,0.01,62.83,1.69,37.17
1.7043E+12,68308.21,68884.22,68134.58,68713.12,0.01,0.01,0.01,0.01,61.83,1.62,38.17
1.7043E+12,67540.62,68562.32,67464.08,68308.21,0.01,0.01,0.01,0.01,61.88,1.62,38.12
1.70431E+12,67867.23,68324.45,67540.62,67540.62,0.01,0.01,0.01,0.01,62.01,1.63,37.99
1.70431E+12,68209.1,68209.1,67861.51,67867.23,0.01,0.01,0.01,0.01,62.18,1.64,37.82
1.70432E+12,68267.75,68268.44,67914.09,68209.1,0.01,0.01,0.01,0.01,62.61,1.68,37.39
1.70432E+12,68285.26,68506.08,68259.86,68267.75,0.01,0.01,0.01,0.01,62.5,1.67,37.5
1.70432E+12,68680.72,68680.72,68285.26,68285.26,0.01,0.01,0.01,0.01,62.16,1.64,37.84
1.70433E+12,68535.65,68709.09,68330.03,68680.72,0.01,0.01,0.01,0.01,62.19,1.65,37.81
1.70433E+12,68521.9,68647.04,68485.23,68535.65,0.01,0.01,0.01,0.01,62.07,1.64,37.93
1.70433E+12,68399.43,68777.38,68399.43,68521.9,0.01,0.01,0.01,0.01,61.55,1.6,38.45
1.70434E+12,68662.47,68662.47,68367.85,68399.43,0.01,0.01,0.01,0.01,61.6,1.6,38.4
1.70434E+12,69023.38,69023.38,68662.47,68662.47,0.01,0.01,0.01,0.01,61.15,1.57,38.85
1.70434E+12,69055.24,69168.3,69018.43,69023.38,0.01,0.01,0.01,0.01,60.96,1.56,39.04
1.70435E+12,69303.18,69315.85,69054.1,69055.24,0.01,0.01,0.01,0.01,60.73,1.55,39.27
1.70435E+12,68726.07,69325.78,68700.41,69303.18,0.01,0.01,0.01,0.01,60.62,1.54,39.38
1.70436E+12,68867.95,68916.05,68646.5,68646.5,0.01,0.01,0.01,0.01,60.62,1.54,39.38
1.70436E+12,69099.49,69102.52,68862.44,68867.95,0.01,0.01,0.01,0.01,60.22,1.51,39.78
1.70436E+12,69076.81,69194.87,68861.4,69099.49,0.01,0.01,0.01,0.01,60.22,1.51,39.78
1.70437E+12,69689.2,69703.48,69054.7,69076.81,0.01,0.01,0.01,0.01,59.29,1.46,40.71
1.70437E+12,70113.5,70113.5,69504.21,69689.2,0.01,0.01,0.01,0.01,58.48,1.41,41.52
1.70437E+12,70636.34,70676.38,70113.5,70113.5,0.01,0.01,0.01,0.01,58.01,1.38,41.99
1.70438E+12,70447.94,71048.27,70238.27,70636.34,0.01,0.01,0.01,0.01,57.67,1.36,42.33
1.70438E+12,72077.76,72249.22,70380.03,70447.94,0.01,0.01,0.01,0.01,57.54,1.36,42.46
1.70438E+12,71405.08,72312.35,71119.43,72077.76,0.01,0.01,0.01,0.01,55.48,1.25,44.52
1.70439E+12,71535.83,71915.68,71195.47,71405.08,0.01,0.01,0.01,0.01,54.95,1.22,45.05
1.70439E+12,72066.66,72066.66,71535.83,71535.83,0.01,0.01,0.01,0.01,54.66,1.21,45.34
1.70439E+12,72377.27,72485.54,71992.99,72066.66,0.01,0.01,0.01,0.01,54.32,1.19,45.68
1.7044E+12,72162.43,72791.53,71924.35,72377.27,0.01,0.01,0.01,0.01,54.72,1.21,45.28
1.7044E+12,71792.88,72162.43,71755.93,72162.43,0.01,0.01,0.01,0.01,54.57,1.2,45.43
1.70441E+12,71401.03,72076.33,71369.7,71792.88,0.01,0.01,0.01,0.01,54.1,1.18,45.9
1.70441E+12,71338.93,71476.59,71312.02,71401.03,0.01,0.01,0.01,0.01,54.31,1.19,45.69
1.70441E+12,71183.64,71363.54,71069.52,71338.93,0.01,0.01,0.01,0.01,54.01,1.17,45.99
1.70442E+12,67535.78,71257.77,67335.87,71183.64,0.01,0.01,0.01,0.01,53.74,1.16,46.26
1.70442E+12,68374.06,68381.52,67404.01,67535.78,0.01,0.01,0.01,0.01,54.41,1.19,45.59
1.70442E+12,68544.82,68660.12,68335.64,68374.06,0.01,0.01,0.01,0.01,54.43,1.19,45.57
1.70443E+12,68110.59,68571.5,68031.91,68544.82,0.01,0.01,0.01,0.01,54.57,1.2,45.43
1.70443E+12,68304.3,68480.07,68084.76,68110.59,0.01,0.01,0.01,0.01,54.95,1.22,45.05
1.70443E+12,68795.42,68795.42,68304.3,68304.3,0.01,0.01,0.01,0.01,55.04,1.22,44.96
1.70444E+12,69153.74,69188.73,68795.42,68795.42,0.01,0.01,0.01,0.01,55.05,1.23,44.95
1.70444E+12,69489.62,69544.58,69111.48,69153.74,0.01,0.01,0.01,0.01,54.78,1.21,45.22
1.70445E+12,70158.13,70158.13,69271.35,69489.62,0.01,0.01,0.01,0.01,54.84,1.21,45.16
1.70445E+12,69801.08,70349.46,69801.08,70158.13,0.01,0.01,0.01,0.01,54.82,1.21,45.18
1.70445E+12,70230.48,70336.06,69801.08,69801.08,0.01,0.01,0.01,0.01,54.03,1.18,45.97
1.70446E+12,70187.78,70354.64,70111.74,70230.48,0.01,0.01,0.01,0.01,54.18,1.18,45.82
1.70446E+12,69831.27,70500.69,69831.27,70187.78,0.01,0.01,0.01,0.01,54.44,1.2,45.56
1.70446E+12,69218.41,70244.59,69079.07,69831.27,0.01,0.01,0.01,0.01,54.49,1.2,45.51
1.70447E+12,69552.56,69570.54,69108.56,69218.41,0.01,0.01,0.01,0.01,55.31,1.24,44.69
1.70447E+12,68726.93,69552.56,68726.93,69552.56,0.01,0.01,0.01,0.01,56.16,1.28,43.84
1.70447E+12,68407.26,68752.23,68261.17,68726.93,0.01,0.01,0.01,0.01,56.57,1.3,43.43
1.70448E+12,68199.56,68548.26,68171.9,68407.26,0.01,0.01,0.01,0.01,57.16,1.33,42.84
1.70448E+12,67851.65,68366.71,67849.29,68199.56,0.01,0.01,0.01,0.01,57.14,1.33,42.86
1.70448E+12,67706.06,68565.4,67706.06,67851.65,0.01,0.01,0.01,0.01,57.01,1.33,42.99
1.70449E+12,67461.48,67748.54,67413.02,67706.06,0.01,0.01,0.01,0.01,56.5,1.3,43.5
1.70449E+12,67361.04,67477.94,67317.25,67461.48,0.01,0.01,0.01,0.01,56.68,1.31,43.32
1.7045E+12,67287.05,67487.85,67090.16,67361.04,0.01,0.01,0.01,0.01,56.04,1.28,43.96
1.7045E+12,67493.13,67524.67,67277.37,67287.05,0.01,0.01,0.01,0.01,54.99,1.22,45.01
1.7045E+12,67367.32,67550.25,67279.89,67493.13,0.01,0.01,0.01,0.01,54.25,1.19,45.75
1.70451E+12,67043.31,67415.92,67014.6,67367.32,0.01,0.01,0.01,0.01,53.67,1.16,46.33
1.70451E+12,67004.72,67196.18,66932.69,67043.31,0.01,0.01,0.01,0.01,54.21,1.18,45.79
1.70451E+12,67091.57,67129.77,66967.96,67004.72,0.01,0.01,0.01,0.01,54.19,1.18,45.81
1.70452E+12,67401.07,67401.07,66908.64,67091.57,0.01,0.01,0.01,0.01,54.03,1.18,45.97
1.70452E+12,67623.73,67748.27,67400.84,67401.07,0.01,0.01,0.01,0.01,53.54,1.15,46.46
